Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I,Time_ISO
2025-03-01 11:00:00,,,,3.13,37.33,45.0,31.79,,2025-03-01 11:00:00
2025-03-01 12:00:00,63.12,54.77,50.79,2.75,,45.68,30.56,52.21,2025-03-01 12:00:00
2025-03-01 13:00:00,57.98,49.16,52.69,,37.72,43.11,27.6,48.03,2025-03-01 13:00:00
2025-03-01 14:00:00,54.61,50.29,52.6,2.72,38.67,39.89,,46.44,2025-03-01 14:00:00
2025-03-01 15:00:00,,52.63,50.69,2.45,42.66,,27.82,,2025-03-01 15:00:00
2025-03-01 16:00:00,63.68,55.51,,,42.25,46.45,,51.1,2025-03-01 16:00:00
2025-03-01 17:00:00,,,53.18,2.58,45.06,,29.81,50.03,2025-03-01 17:00:00
2025-03-01 18:00:00,65.77,56.24,,3.09,41.18,46.07,,53.54,2025-03-01 18:00:00
2025-03-01 19:00:00,71.79,52.17,57.76,3.12,,58.67,29.59,,2025-03-01 19:00:00
2025-03-01 20:00:00,68.89,57.69,58.63,3.02,39.74,57.23,33.05,50.77,2025-03-01 20:00:00
2025-03-01 21:00:00,64.43,49.54,54.35,,42.75,,,,2025-03-01 21:00:00
2025-03-01 22:00:00,,,,3.11,41.38,56.41,31.79,47.02,2025-03-01 22:00:00
2025-03-01 23:00:00,63.88,51.13,52.25,3.5,,50.86,30.57,47.58,2025-03-01 23:00:00
2025-03-02 00:00:00,,53.25,41.65,,38.91,50.51,29.22,49.85,2025-03-02 00:00:00
2025-03-02 01:00:00,64.85,48.81,38.69,3.98,26.54,42.69,28.08,46.45,2025-03-02 01:00:00
2025-03-02 02:00:00,56.88,47.83,35.3,4.22,25.84,40.18,,42.89,2025-03-02 02:00:00
2025-03-02 03:00:00,54.35,,,3.47,25.86,38.16,24.51,42.56,2025-03-02 03:00:00
2025-03-02 04:00:00,51.95,48.9,34.16,,,37.37,20.7,42.12,2025-03-02 04:00:00
2025-03-02 05:00:00,52.08,47.42,,3.9,26.47,35.32,,45.82,2025-03-02 05:00:00
2025-03-02 06:00:00,43.19,49.85,31.92,,,32.51,29.83,37.98,2025-03-02 06:00:00
2025-03-02 07:00:00,,,,3.33,23.44,,30.62,,2025-03-02 07:00:00
2025-03-02 08:00:00,42.57,47.08,30.6,2.71,24.82,34.01,31.83,38.04,2025-03-02 08:00:00
2025-03-02 09:00:00,44.17,46.96,41.98,,30.95,37.66,,40.18,2025-03-02 09:00:00
2025-03-02 10:00:00,50.54,48.71,48.74,3.05,34.56,42.85,41.05,40.11,2025-03-02 10:00:00
2025-03-02 11:00:00,56.15,52.0,50.5,2.93,,45.94,41.25,,2025-03-02 11:00:00
2025-03-02 12:00:00,66.15,59.01,,2.56,38.61,50.71,,46.88,2025-03-02 12:00:00
2025-03-02 13:00:00,62.04,,52.09,2.55,,43.79,36.7,53.47,2025-03-02 13:00:00
2025-03-02 14:00:00,,57.67,53.12,2.94,42.13,40.17,34.82,,2025-03-02 14:00:00
2025-03-02 15:00:00,58.82,,,3.12,44.03,,34.94,49.98,2025-03-02 15:00:00
2025-03-02 16:00:00,64.56,57.13,48.68,,43.24,44.91,,53.82,2025-03-02 16:00:00
2025-03-02 17:00:00,66.62,,46.29,3.27,42.8,,32.37,52.05,2025-03-02 17:00:00
2025-03-02 18:00:00,,56.3,,3.13,39.77,45.46,,52.6,2025-03-02 18:00:00
2025-03-02 19:00:00,71.91,56.68,53.06,2.67,,56.41,33.4,,2025-03-02 19:00:00
2025-03-02 20:00:00,67.19,56.5,55.62,2.71,40.02,,,50.07,2025-03-02 20:00:00
2025-03-02 21:00:00,,,54.3,2.68,38.41,58.33,31.38,,2025-03-02 21:00:00
2025-03-02 22:00:00,67.33,53.73,53.95,3.13,40.12,59.33,32.93,47.24,2025-03-02 22:00:00
2025-03-02 23:00:00,68.0,54.66,51.17,,36.99,50.96,33.63,,2025-03-02 23:00:00
2025-03-03 00:00:00,68.35,,46.42,3.56,34.62,48.4,32.68,49.32,2025-03-03 00:00:00
2025-03-03 01:00:00,62.81,52.87,40.02,,26.44,44.17,28.59,47.26,2025-03-03 01:00:00
2025-03-03 02:00:00,,49.66,34.51,3.81,,41.0,23.39,43.45,2025-03-03 02:00:00
2025-03-03 03:00:00,57.28,46.12,,,27.25,39.13,21.42,41.37,2025-03-03 03:00:00
2025-03-03 04:00:00,,,32.61,4.17,25.56,,20.36,44.12,2025-03-03 04:00:00
2025-03-03 05:00:00,53.13,47.18,29.31,,27.14,37.59,,44.05,2025-03-03 05:00:00
2025-03-03 06:00:00,44.5,46.58,28.89,3.34,26.18,30.95,29.33,39.01,2025-03-03 06:00:00
2025-03-03 07:00:00,42.34,44.24,27.66,2.55,,,,,2025-03-03 07:00:00
2025-03-03 08:00:00,,46.1,,2.72,25.04,31.79,25.56,34.86,2025-03-03 08:00:00
2025-03-03 09:00:00,46.0,45.57,38.19,2.61,33.47,32.39,29.62,37.27,2025-03-03 09:00:00
2025-03-03 10:00:00,46.03,,41.65,2.56,,37.57,35.88,,2025-03-03 10:00:00
2025-03-03 11:00:00,51.97,48.66,43.43,,34.43,40.01,35.03,37.3,2025-03-03 11:00:00
2025-03-03 12:00:00,,,46.94,2.68,37.37,45.79,33.68,38.42,2025-03-03 12:00:00
2025-03-03 13:00:00,58.95,51.21,46.29,,40.62,42.17,,47.89,2025-03-03 13:00:00
2025-03-03 14:00:00,58.63,51.86,44.5,2.75,41.94,39.76,33.39,,2025-03-03 14:00:00
2025-03-03 15:00:00,,,46.42,,,,30.25,46.28,2025-03-03 15:00:00
2025-03-03 16:00:00,66.13,50.71,,2.92,41.31,40.28,28.74,51.51,2025-03-03 16:00:00
2025-03-03 17:00:00,66.26,52.0,49.19,3.0,,41.43,26.25,,2025-03-03 17:00:00
2025-03-03 18:00:00,,53.44,,3.15,41.85,43.68,,51.78,2025-03-03 18:00:00
2025-03-03 19:00:00,68.53,51.49,50.85,2.84,41.72,55.59,29.78,48.87,2025-03-03 19:00:00
2025-03-03 20:00:00,66.13,48.55,52.36,2.94,,56.35,29.22,44.42,2025-03-03 20:00:00
2025-03-03 21:00:00,62.76,,52.84,,43.52,55.18,,39.16,2025-03-03 21:00:00
2025-03-03 22:00:00,,45.81,52.17,2.8,41.49,53.15,30.69,,2025-03-03 22:00:00
2025-03-03 23:00:00,61.19,48.28,50.11,3.13,40.81,48.97,29.06,40.96,2025-03-03 23:00:00
2025-03-04 00:00:00,54.6,43.54,41.5,3.75,35.63,42.97,28.1,41.32,2025-03-04 00:00:00
2025-03-04 01:00:00,49.62,42.67,36.39,3.31,23.31,39.92,23.39,36.56,2025-03-04 01:00:00
2025-03-04 02:00:00,45.09,41.34,31.39,2.84,,35.1,20.6,33.17,2025-03-04 02:00:00
2025-03-04 03:00:00,,39.32,30.95,2.72,24.92,,17.83,32.13,2025-03-04 03:00:00
2025-03-04 04:00:00,42.69,,30.09,3.24,25.99,31.57,,,2025-03-04 04:00:00
2025-03-04 05:00:00,43.54,40.49,26.69,,23.88,31.03,19.22,36.2,2025-03-04 05:00:00
2025-03-04 06:00:00,39.49,44.25,25.42,2.83,,,25.2,31.42,2025-03-04 06:00:00
2025-03-04 07:00:00,,,,,23.04,26.13,20.2,30.18,2025-03-04 07:00:00
2025-03-04 08:00:00,36.43,41.56,27.01,2.34,28.83,26.25,,,2025-03-04 08:00:00
2025-03-04 09:00:00,39.83,43.35,34.7,,48.34,31.72,26.81,33.19,2025-03-04 09:00:00
2025-03-04 10:00:00,44.84,45.41,42.48,2.67,,36.77,30.66,,2025-03-04 10:00:00
2025-03-04 11:00:00,46.5,46.54,,2.77,36.97,37.84,31.32,34.84,2025-03-04 11:00:00
2025-03-04 12:00:00,52.56,51.02,47.57,,,42.39,29.88,43.04,2025-03-04 12:00:00
2025-03-04 13:00:00,58.24,50.48,47.84,2.75,29.4,,29.59,42.72,2025-03-04 13:00:00
2025-03-04 14:00:00,,,,2.39,35.55,40.24,29.22,,2025-03-04 14:00:00
2025-03-04 15:00:00,52.49,47.9,45.07,,,,27.17,40.37,2025-03-04 15:00:00
2025-03-04 16:00:00,58.83,52.68,46.1,2.42,39.42,41.28,,47.45,2025-03-04 16:00:00
2025-03-04 17:00:00,63.24,,43.08,3.08,39.6,,25.83,,2025-03-04 17:00:00
2025-03-04 18:00:00,64.82,52.27,,3.22,37.5,43.1,,49.7,2025-03-04 18:00:00
2025-03-04 19:00:00,67.78,51.54,49.72,,,55.27,26.78,47.05,2025-03-04 19:00:00
2025-03-04 20:00:00,65.82,49.19,54.92,2.99,40.65,,30.66,45.22,2025-03-04 20:00:00
2025-03-04 21:00:00,60.59,46.99,53.15,,35.33,54.03,30.03,,2025-03-04 21:00:00
2025-03-04 22:00:00,,,49.28,2.99,38.54,54.32,32.68,41.75,2025-03-04 22:00:00
2025-03-04 23:00:00,61.25,48.87,47.98,,,48.84,,43.05,2025-03-04 23:00:00
2025-03-05 00:00:00,58.27,,43.39,2.81,34.16,43.04,30.02,45.09,2025-03-05 00:00:00
2025-03-05 01:00:00,54.26,47.57,36.21,3.24,,40.08,23.41,42.7,2025-03-05 01:00:00
2025-03-05 02:00:00,53.1,45.85,,3.33,27.61,36.84,21.17,38.7,2025-03-05 02:00:00
2025-03-05 03:00:00,47.29,44.12,33.36,3.76,27.66,35.03,19.63,35.54,2025-03-05 03:00:00
2025-03-05 04:00:00,47.26,42.76,30.06,3.74,,34.04,18.27,35.88,2025-03-05 04:00:00
2025-03-05 05:00:00,48.33,44.74,,3.24,26.73,32.8,,38.32,2025-03-05 05:00:00
2025-03-05 06:00:00,41.6,44.72,28.93,3.28,27.99,29.05,28.23,35.06,2025-03-05 06:00:00
2025-03-05 07:00:00,39.29,,26.79,2.81,25.01,29.78,,32.58,2025-03-05 07:00:00
2025-03-05 08:00:00,,41.05,29.06,2.64,,,25.64,,2025-03-05 08:00:00
2025-03-05 09:00:00,41.84,44.66,38.85,2.59,33.09,35.96,30.59,37.47,2025-03-05 09:00:00
2025-03-05 10:00:00,45.44,46.66,41.57,,33.18,38.75,37.57,,2025-03-05 10:00:00
2025-03-05 11:00:00,51.84,48.91,42.92,2.71,32.29,42.58,35.1,37.03,2025-03-05 11:00:00
2025-03-05 12:00:00,55.2,51.58,45.91,2.58,,43.68,,39.87,2025-03-05 12:00:00
2025-03-05 13:00:00,61.32,56.35,50.0,2.92,35.89,49.97,32.2,46.13,2025-03-05 13:00:00
2025-03-05 14:00:00,,,47.37,2.34,38.59,39.38,35.76,48.69,2025-03-05 14:00:00
2025-03-05 15:00:00,57.54,51.46,46.5,2.65,37.78,,31.85,49.38,2025-03-05 15:00:00
2025-03-05 16:00:00,65.19,55.46,,,,42.92,28.05,,2025-03-05 16:00:00
2025-03-05 17:00:00,65.66,54.23,47.74,3.31,37.88,,27.42,49.98,2025-03-05 17:00:00
2025-03-05 18:00:00,64.27,52.47,,2.87,39.36,44.91,,56.82,2025-03-05 18:00:00
2025-03-05 19:00:00,69.44,52.21,50.48,2.93,39.24,52.96,32.4,,2025-03-05 19:00:00
2025-03-05 20:00:00,69.28,50.0,53.38,,,59.74,31.3,49.89,2025-03-05 20:00:00
2025-03-05 21:00:00,67.02,,54.23,3.15,44.55,58.79,,,2025-03-05 21:00:00
2025-03-05 22:00:00,,51.26,54.55,2.68,,58.14,33.31,45.27,2025-03-05 22:00:00
2025-03-05 23:00:00,66.05,51.1,50.23,,38.5,50.35,32.96,,2025-03-05 23:00:00
2025-03-06 00:00:00,63.37,,42.12,3.66,32.86,47.74,29.33,47.27,2025-03-06 00:00:00
2025-03-06 01:00:00,56.76,50.69,39.29,,24.41,40.86,26.97,49.24,2025-03-06 01:00:00
2025-03-06 02:00:00,54.11,47.33,35.89,4.06,,38.83,22.9,44.11,2025-03-06 02:00:00
2025-03-06 03:00:00,,45.84,34.01,3.71,25.65,37.41,20.27,41.3,2025-03-06 03:00:00
2025-03-06 04:00:00,49.4,,30.66,4.13,25.61,34.54,19.7,,2025-03-06 04:00:00
2025-03-06 05:00:00,46.12,47.43,,3.35,,33.12,,41.06,2025-03-06 05:00:00
2025-03-06 06:00:00,,44.66,29.58,2.94,24.29,31.83,28.4,42.38,2025-03-06 06:00:00
2025-03-06 07:00:00,39.98,,,,24.87,,,,2025-03-06 07:00:00
2025-03-06 08:00:00,43.84,47.2,29.4,2.89,31.17,30.57,28.77,39.2,2025-03-06 08:00:00
2025-03-06 09:00:00,,49.67,40.21,,,34.54,31.6,,2025-03-06 09:00:00
2025-03-06 10:00:00,49.88,,45.41,2.93,31.26,42.91,39.24,39.52,2025-03-06 10:00:00
2025-03-06 11:00:00,51.32,53.21,46.23,2.77,31.76,43.55,,38.73,2025-03-06 11:00:00
2025-03-06 12:00:00,55.96,58.36,48.83,,34.06,46.51,35.76,43.92,2025-03-06 12:00:00
2025-03-06 13:00:00,63.49,59.93,51.96,3.22,32.93,48.59,36.05,50.42,2025-03-06 13:00:00
2025-03-06 14:00:00,,,48.71,3.02,36.18,38.51,36.31,52.06,2025-03-06 14:00:00
2025-03-06 15:00:00,58.01,58.41,50.7,,39.83,,33.08,,2025-03-06 15:00:00
2025-03-06 16:00:00,67.37,60.44,,3.06,,45.97,32.48,56.16,2025-03-06 16:00:00
2025-03-06 17:00:00,,,48.21,2.94,44.96,,30.53,54.77,2025-03-06 17:00:00
2025-03-06 18:00:00,65.64,58.51,,2.93,45.38,45.1,,54.42,2025-03-06 18:00:00
2025-03-06 19:00:00,71.03,,56.24,,45.56,56.57,28.89,52.4,2025-03-06 19:00:00
2025-03-06 20:00:00,69.85,54.05,,3.0,43.26,56.38,35.44,47.77,2025-03-06 20:00:00
2025-03-06 21:00:00,,50.5,57.09,2.96,44.94,56.0,,,2025-03-06 21:00:00
2025-03-06 22:00:00,66.64,,56.12,3.0,44.64,,33.33,42.23,2025-03-06 22:00:00
2025-03-06 23:00:00,,50.45,54.17,,41.62,52.96,,45.59,2025-03-06 23:00:00
2025-03-07 00:00:00,61.38,,49.6,3.33,37.97,48.44,32.27,47.9,2025-03-07 00:00:00
2025-03-07 01:00:00,60.85,52.91,43.13,3.63,,44.49,29.53,50.92,2025-03-07 01:00:00
2025-03-07 02:00:00,57.29,50.13,40.64,,25.06,42.28,26.84,,2025-03-07 02:00:00
2025-03-07 03:00:00,55.78,,36.14,3.5,26.12,40.04,24.54,48.66,2025-03-07 03:00:00
2025-03-07 04:00:00,52.94,48.68,,4.15,26.43,37.38,22.79,,2025-03-07 04:00:00
2025-03-07 05:00:00,51.78,48.83,33.44,4.38,,35.19,22.85,44.71,2025-03-07 05:00:00
2025-03-07 06:00:00,,46.03,30.1,,26.31,30.72,20.04,42.35,2025-03-07 06:00:00
2025-03-07 07:00:00,47.37,,,3.98,,,,,2025-03-07 07:00:00
2025-03-07 08:00:00,52.62,51.52,30.75,,29.39,33.5,22.49,50.33,2025-03-07 08:00:00
2025-03-07 09:00:00,57.32,58.58,43.98,3.75,30.06,37.69,27.83,50.76,2025-03-07 09:00:00
2025-03-07 10:00:00,68.84,63.65,47.16,3.91,30.66,42.63,33.0,54.29,2025-03-07 10:00:00
2025-03-07 11:00:00,69.98,,52.17,3.6,30.48,47.05,31.2,58.58,2025-03-07 11:00:00
2025-03-07 12:00:00,66.15,61.13,,,,,,,2025-03-07 12:00:00
2025-03-07 13:00:00,64.09,55.48,49.84,3.31,31.13,44.65,30.95,49.22,2025-03-07 13:00:00
2025-03-07 14:00:00,,60.03,52.41,3.06,39.95,,,50.69,2025-03-07 14:00:00
2025-03-07 15:00:00,62.77,,52.3,,40.46,42.79,33.56,56.16,2025-03-07 15:00:00
2025-03-07 16:00:00,69.39,63.27,53.21,2.86,,47.73,,59.28,2025-03-07 16:00:00
2025-03-07 17:00:00,74.84,56.59,50.58,2.86,44.25,49.04,32.26,,2025-03-07 17:00:00
2025-03-07 18:00:00,,54.52,,2.96,,,,54.71,2025-03-07 18:00:00
2025-03-07 19:00:00,72.04,54.48,53.78,3.69,42.0,54.68,27.54,,2025-03-07 19:00:00
2025-03-07 20:00:00,68.91,51.59,57.53,3.09,42.32,60.0,34.51,50.57,2025-03-07 20:00:00
2025-03-07 21:00:00,63.5,51.75,56.38,2.68,,55.74,,41.81,2025-03-07 21:00:00
2025-03-07 22:00:00,64.34,50.47,54.67,2.81,42.23,55.67,32.49,,2025-03-07 22:00:00
2025-03-07 23:00:00,61.99,,50.22,,38.04,50.14,33.37,42.01,2025-03-07 23:00:00
2025-03-08 00:00:00,,50.82,44.24,3.59,39.45,46.41,,47.48,2025-03-08 00:00:00
2025-03-08 01:00:00,67.31,,43.14,,,46.41,30.63,51.9,2025-03-08 01:00:00
2025-03-08 02:00:00,63.03,56.76,41.15,3.98,24.48,45.02,,51.1,2025-03-08 02:00:00
2025-03-08 03:00:00,59.87,51.84,35.66,4.45,25.28,42.26,26.31,48.61,2025-03-08 03:00:00
2025-03-08 04:00:00,57.48,51.32,32.51,,24.83,,,46.09,2025-03-08 04:00:00
2025-03-08 05:00:00,52.15,50.45,33.33,4.19,,37.05,23.03,46.61,2025-03-08 05:00:00
2025-03-08 06:00:00,,,30.29,,23.23,,21.02,,2025-03-08 06:00:00
2025-03-08 07:00:00,48.8,52.0,31.7,3.87,,33.93,,47.04,2025-03-08 07:00:00
2025-03-08 08:00:00,53.98,,,4.13,24.83,42.42,24.01,54.14,2025-03-08 08:00:00
2025-03-08 09:00:00,60.44,58.74,39.77,,30.57,,30.47,57.82,2025-03-08 09:00:00
2025-03-08 10:00:00,69.07,58.17,46.26,3.78,31.47,47.76,,60.93,2025-03-08 10:00:00
2025-03-08 11:00:00,71.02,,48.28,3.69,33.75,49.28,29.99,,2025-03-08 11:00:00
2025-03-08 12:00:00,70.42,60.79,53.35,,,52.87,36.24,55.96,2025-03-08 12:00:00
2025-03-08 13:00:00,68.02,57.13,52.49,3.0,36.24,47.32,31.54,54.42,2025-03-08 13:00:00
2025-03-08 14:00:00,63.84,,,2.75,39.11,46.44,,,2025-03-08 14:00:00
2025-03-08 15:00:00,,60.37,52.69,,40.52,,35.7,58.14,2025-03-08 15:00:00
2025-03-08 16:00:00,74.71,59.62,,3.02,40.69,49.24,34.35,,2025-03-08 16:00:00
2025-03-08 17:00:00,,,52.47,3.27,40.99,,32.65,58.71,2025-03-08 17:00:00
2025-03-08 18:00:00,72.28,60.52,,3.11,41.69,49.47,,60.25,2025-03-08 18:00:00
2025-03-08 19:00:00,76.7,,60.5,,41.06,64.56,33.47,,2025-03-08 19:00:00
2025-03-08 20:00:00,76.25,60.37,61.06,2.99,43.7,64.43,36.48,56.9,2025-03-08 20:00:00
2025-03-08 21:00:00,73.85,,58.24,,43.19,62.51,35.07,50.3,2025-03-08 21:00:00
2025-03-08 22:00:00,,58.43,54.7,3.08,41.75,62.27,,,2025-03-08 22:00:00
2025-03-08 23:00:00,73.3,61.36,55.05,3.33,37.62,,35.35,51.64,2025-03-08 23:00:00
2025-03-09 00:00:00,76.45,61.22,46.76,,35.27,59.55,36.64,57.95,2025-03-09 00:00:00
2025-03-09 01:00:00,70.89,59.71,41.75,3.43,,,33.74,56.69,2025-03-09 01:00:00
2025-03-09 02:00:00,64.43,57.57,38.28,4.0,31.83,49.18,29.49,51.46,2025-03-09 02:00:00
2025-03-09 03:00:00,62.27,55.11,36.65,4.28,28.43,49.19,24.41,49.03,2025-03-09 03:00:00
2025-03-09 04:00:00,60.49,50.89,30.97,4.35,28.87,42.07,22.02,,2025-03-09 04:00:00
2025-03-09 05:00:00,55.74,51.56,31.54,3.79,27.51,39.9,,47.87,2025-03-09 05:00:00
2025-03-09 06:00:00,48.37,48.52,,3.69,26.22,,33.71,,2025-03-09 06:00:00
2025-03-09 07:00:00,,,27.57,,,34.51,,41.35,2025-03-09 07:00:00
2025-03-09 08:00:00,54.9,52.97,32.13,3.09,26.63,36.46,33.17,43.61,2025-03-09 08:00:00
2025-03-09 09:00:00,,56.21,44.72,,32.97,41.57,34.85,,2025-03-09 09:00:00
2025-03-09 10:00:00,58.57,61.2,48.72,3.25,33.14,46.12,42.69,46.91,2025-03-09 10:00:00
2025-03-09 11:00:00,60.05,60.0,49.54,3.9,40.31,50.19,42.44,47.32,2025-03-09 11:00:00
2025-03-09 12:00:00,61.99,64.27,52.11,3.12,39.38,50.47,37.77,46.26,2025-03-09 12:00:00
2025-03-09 13:00:00,72.94,62.2,52.74,,37.69,52.47,,56.21,2025-03-09 13:00:00
2025-03-09 14:00:00,73.41,65.28,49.98,2.9,,47.05,39.48,,2025-03-09 14:00:00
2025-03-09 15:00:00,72.38,,49.91,,37.43,,37.28,60.34,2025-03-09 15:00:00
2025-03-09 16:00:00,,66.15,50.77,3.16,39.04,51.62,33.68,57.48,2025-03-09 16:00:00
2025-03-09 17:00:00,71.81,66.87,48.08,,39.23,,31.6,,2025-03-09 17:00:00
2025-03-09 18:00:00,,58.02,,3.71,41.44,46.33,,55.74,2025-03-09 18:00:00
2025-03-09 19:00:00,80.44,,57.72,2.78,46.26,62.7,32.04,,2025-03-09 19:00:00
2025-03-09 20:00:00,76.32,60.97,60.38,,44.18,,36.77,53.16,2025-03-09 20:00:00
2025-03-09 21:00:00,73.86,,,2.96,40.45,65.5,,,2025-03-09 21:00:00
2025-03-09 22:00:00,72.57,56.25,57.42,3.18,,61.88,36.55,49.38,2025-03-09 22:00:00
2025-03-09 23:00:00,,59.33,54.38,3.52,38.03,59.65,35.44,49.41,2025-03-09 23:00:00
2025-03-10 00:00:00,74.14,64.79,49.72,,35.8,53.78,34.5,55.4,2025-03-10 00:00:00
2025-03-10 01:00:00,76.06,58.79,38.85,3.94,,50.01,31.88,57.66,2025-03-10 01:00:00
2025-03-10 02:00:00,66.17,,,4.38,23.51,49.22,28.39,51.13,2025-03-10 02:00:00
2025-03-10 03:00:00,62.42,56.87,37.56,4.15,24.71,46.8,25.5,48.74,2025-03-10 03:00:00
2025-03-10 04:00:00,58.08,55.07,34.81,,26.38,43.9,23.47,,2025-03-10 04:00:00
2025-03-10 05:00:00,58.35,56.87,,3.63,24.26,43.36,,51.13,2025-03-10 05:00:00
2025-03-10 06:00:00,49.48,,31.66,3.69,,34.15,32.54,42.94,2025-03-10 06:00:00
2025-03-10 07:00:00,,53.12,,2.89,24.57,,,,2025-03-10 07:00:00
2025-03-10 08:00:00,49.97,55.58,32.33,3.24,23.06,36.8,33.02,41.72,2025-03-10 08:00:00
2025-03-10 09:00:00,53.44,59.39,43.62,3.27,32.76,44.71,40.3,44.05,2025-03-10 09:00:00
2025-03-10 10:00:00,61.64,62.64,50.5,,32.76,47.81,45.12,,2025-03-10 10:00:00
2025-03-10 11:00:00,61.34,62.3,52.22,3.52,36.86,51.33,,45.1,2025-03-10 11:00:00
2025-03-10 12:00:00,72.48,66.93,54.52,3.55,,54.14,43.11,48.28,2025-03-10 12:00:00
2025-03-10 13:00:00,80.82,69.92,58.98,3.15,40.77,56.82,,58.64,2025-03-10 13:00:00
2025-03-10 14:00:00,78.52,,57.23,,,49.67,45.43,60.54,2025-03-10 14:00:00
2025-03-10 15:00:00,79.79,67.78,55.81,3.13,44.62,,40.18,65.1,2025-03-10 15:00:00
2025-03-10 16:00:00,78.08,70.77,55.97,3.28,,51.3,33.4,60.76,2025-03-10 16:00:00
2025-03-10 17:00:00,71.37,68.86,52.9,,43.21,54.26,30.05,,2025-03-10 17:00:00
2025-03-10 18:00:00,,,,3.78,,,,58.22,2025-03-10 18:00:00
2025-03-10 19:00:00,77.21,58.51,59.06,3.19,42.32,61.45,29.61,,2025-03-10 19:00:00
2025-03-10 20:00:00,79.81,63.46,63.02,3.08,46.85,66.61,37.28,57.97,2025-03-10 20:00:00
2025-03-10 21:00:00,76.88,,58.39,,43.68,69.14,36.18,,2025-03-10 21:00:00
2025-03-10 22:00:00,,60.24,58.0,3.49,42.63,67.28,,51.86,2025-03-10 22:00:00
2025-03-10 23:00:00,79.18,65.11,57.7,3.93,39.51,65.33,37.08,58.85,2025-03-10 23:00:00
2025-03-11 00:00:00,82.37,62.52,51.49,3.69,38.2,55.29,36.15,63.11,2025-03-11 00:00:00
2025-03-11 01:00:00,75.24,63.72,42.86,5.11,,52.68,32.59,62.98,2025-03-11 01:00:00
2025-03-11 02:00:00,71.43,,39.33,4.63,27.45,52.15,30.79,56.13,2025-03-11 02:00:00
2025-03-11 03:00:00,66.7,61.63,,4.47,28.83,49.34,27.72,55.01,2025-03-11 03:00:00
2025-03-11 04:00:00,,,37.35,4.23,29.03,47.21,25.93,,2025-03-11 04:00:00
2025-03-11 05:00:00,64.25,60.09,34.75,,28.52,46.39,,53.84,2025-03-11 05:00:00
2025-03-11 06:00:00,51.95,,33.53,4.34,24.89,39.3,36.55,47.99,2025-03-11 06:00:00
2025-03-11 07:00:00,,54.35,,,,,,,2025-03-11 07:00:00
2025-03-11 08:00:00,56.63,62.27,34.03,3.93,27.25,40.84,43.13,46.95,2025-03-11 08:00:00
2025-03-11 09:00:00,60.24,65.55,48.56,3.81,30.62,44.03,,53.09,2025-03-11 09:00:00
2025-03-11 10:00:00,65.1,65.74,55.02,3.27,32.49,52.21,47.73,47.32,2025-03-11 10:00:00
2025-03-11 11:00:00,,67.18,56.53,3.13,33.68,55.83,43.74,,2025-03-11 11:00:00
2025-03-11 12:00:00,71.81,72.06,,3.43,39.85,60.25,45.73,53.91,2025-03-11 12:00:00
2025-03-11 13:00:00,81.8,79.53,57.83,3.21,,58.73,,65.11,2025-03-11 13:00:00
2025-03-11 14:00:00,,75.97,58.99,3.56,34.59,58.9,42.47,66.32,2025-03-11 14:00:00
2025-03-11 15:00:00,83.21,79.3,54.07,2.96,36.39,57.7,43.68,71.71,2025-03-11 15:00:00
2025-03-11 16:00:00,79.76,75.94,,,47.02,55.75,35.41,63.39,2025-03-11 16:00:00
2025-03-11 17:00:00,76.2,67.58,53.76,3.74,,52.56,32.81,,2025-03-11 17:00:00
2025-03-11 18:00:00,,65.76,,,46.36,,,60.94,2025-03-11 18:00:00
2025-03-11 19:00:00,75.28,66.95,59.21,3.57,42.22,60.81,32.55,,2025-03-11 19:00:00
2025-03-11 20:00:00,82.94,68.72,64.31,3.22,44.17,66.99,38.75,60.1,2025-03-11 20:00:00
2025-03-11 21:00:00,,67.59,61.58,,,69.03,40.8,,2025-03-11 21:00:00
2025-03-11 22:00:00,80.75,,,3.44,43.93,66.98,,53.73,2025-03-11 22:00:00
2025-03-11 23:00:00,82.03,65.83,63.37,3.37,42.25,65.35,41.53,58.43,2025-03-11 23:00:00
2025-03-12 00:00:00,85.62,71.0,53.19,,39.13,62.14,,62.86,2025-03-12 00:00:00
2025-03-12 01:00:00,85.95,,43.55,5.16,,58.68,39.79,66.48,2025-03-12 01:00:00
2025-03-12 02:00:00,80.14,68.43,,,28.95,58.23,32.45,60.15,2025-03-12 02:00:00
2025-03-12 03:00:00,73.17,65.0,40.55,4.92,,54.74,29.58,57.57,2025-03-12 03:00:00
2025-03-12 04:00:00,66.08,,38.26,4.98,29.47,48.41,28.27,,2025-03-12 04:00:00
2025-03-12 05:00:00,63.44,60.24,34.92,,28.45,46.67,,55.46,2025-03-12 05:00:00
2025-03-12 06:00:00,56.57,,31.04,4.28,,,38.42,47.68,2025-03-12 06:00:00
2025-03-12 07:00:00,,62.76,,,26.9,39.65,41.12,,2025-03-12 07:00:00
2025-03-12 08:00:00,55.83,,33.6,3.75,27.89,42.78,,46.51,2025-03-12 08:00:00
