,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
,,,,,,,,
2025-03-16 12,78.88,71.14,54.67,3.19,40.52,56.21,51.45,49.98
2025-03-16 13,78.69,72.72,60.02,3.47,39.01,61.73,,58.48
2025-03-16 14,,68.91,56.05,3.97,,56.79,44.93,63.27
2025-03-16 15,80.06,,,3.52,41.81,55.29,41.44,66.32
2025-03-16 16,,70.55,53.12,3.30,40.84,55.46,35.44,
2025-03-16 17,78.96,,49.48,,,52.56,31.17,61.35
2025-03-16 18,,60.95,,3.79,38.51,,,59.26
2025-03-16 19,75.44,59.67,59.47,3.30,,62.24,32.81,
2025-03-16 20,81.18,63.77,56.65,,41.46,68.04,36.42,57.97
2025-03-16 21,77.35,,54.67,2.86,41.74,68.21,,
2025-03-16 22,,58.74,57.47,3.37,37.14,63.15,35.26,48.99
2025-03-16 23,76.63,59.80,53.31,,,,35.49,55.49
2025-03-17 00,79.50,60.47,51.02,4.01,35.66,62.51,35.33,60.09
2025-03-17 01,81.71,61.77,43.07,4.39,24.82,54.10,,
2025-03-17 02,73.25,,40.08,4.78,27.13,,31.92,59.71
2025-03-17 03,,61.66,,,26.54,54.42,29.17,54.26
2025-03-17 04,68.19,,36.65,4.59,,54.32,26.02,
2025-03-17 05,61.82,57.31,32.54,4.07,26.15,48.02,,54.64
2025-03-17 06,,,,,,,39.83,
2025-03-17 07,58.26,54.77,30.91,3.57,25.45,44.27,39.48,45.68
2025-03-17 08,,56.63,32.59,3.57,26.97,,39.29,
2025-03-17 09,55.74,60.31,43.54,3.21,31.28,44.91,,46.22
2025-03-17 10,61.69,,,,32.24,47.29,46.79,
2025-03-17 11,62.17,58.14,46.92,3.16,34.22,49.81,41.09,45.15
2025-03-17 12,65.41,59.59,50.06,3.03,34.86,55.61,,53.12
2025-03-17 13,74.11,65.51,48.90,2.94,37.72,53.57,35.83,
2025-03-17 14,,59.91,48.09,3.38,37.02,53.16,41.76,56.84
2025-03-17 15,74.71,62.86,,2.89,,49.67,35.67,57.07
2025-03-17 16,73.17,61.07,46.51,,40.30,48.69,31.11,
2025-03-17 17,67.36,,43.21,3.09,38.75,48.03,27.39,67.15
2025-03-17 18,,56.90,,3.28,40.24,,,48.58
2025-03-17 19,71.05,,52.94,2.92,40.45,56.03,27.82,49.60
2025-03-17 20,74.84,58.29,,3.62,,61.99,33.12,51.20
2025-03-17 21,70.39,,53.84,,40.56,63.27,35.68,45.22
2025-03-17 22,,55.78,55.01,2.96,38.92,61.45,,
2025-03-17 23,69.99,,55.65,2.97,35.55,58.14,36.23,47.61
2025-03-18 00,70.48,55.61,47.24,3.47,34.35,51.37,33.25,52.37
2025-03-18 01,65.45,54.42,38.81,3.78,,,30.09,49.18
2025-03-18 02,64.60,,,3.94,24.62,48.80,28.24,46.22
2025-03-18 03,59.14,51.65,36.08,,25.31,46.36,26.32,
2025-03-18 04,,49.32,33.34,3.71,,,,45.07
2025-03-18 05,58.08,51.56,31.26,3.74,25.15,44.02,24.11,43.76
2025-03-18 06,48.65,52.53,26.50,3.33,24.24,37.35,33.03,38.63
2025-03-18 07,,50.67,,3.12,,,33.99,
2025-03-18 08,49.78,55.65,31.92,3.00,24.11,39.49,31.99,37.33
2025-03-18 09,54.26,61.63,44.28,,28.83,42.63,40.18,40.69
2025-03-18 10,59.37,,,3.15,31.13,48.80,43.33,40.52
2025-03-18 11,65.32,61.94,47.73,3.00,34.84,,42.83,43.57
2025-03-18 12,69.11,62.77,,3.38,,56.72,39.39,
2025-03-18 13,79.03,64.85,50.63,,37.44,53.26,40.56,54.19
2025-03-18 14,,,51.78,3.37,36.43,50.39,39.33,56.74
2025-03-18 15,77.17,58.42,50.11,3.08,38.83,,38.09,55.07
2025-03-18 16,76.12,63.93,50.70,3.53,,51.52,,
2025-03-18 17,72.94,62.39,48.65,,39.10,50.74,33.12,53.72
2025-03-18 18,,56.41,,3.13,38.47,,,53.66
2025-03-18 19,74.87,,55.89,3.24,38.03,58.79,29.20,
2025-03-18 20,77.63,59.36,55.36,2.92,38.34,63.53,34.47,54.55
2025-03-18 21,72.42,,,,42.15,64.44,35.11,
2025-03-18 22,74.67,57.22,55.20,3.28,38.59,61.69,35.71,46.09
2025-03-18 23,,,53.19,3.12,38.18,,34.48,50.58
2025-03-19 00,74.74,58.89,48.24,3.96,35.85,60.46,34.25,51.21
2025-03-19 01,71.60,56.75,40.11,,26.10,47.79,30.63,
2025-03-19 02,,,,4.01,,,26.91,51.54
2025-03-19 03,66.42,53.51,38.22,4.15,25.71,47.86,25.88,
2025-03-19 04,60.12,53.09,33.44,3.63,26.95,43.95,,44.12
2025-03-19 05,58.19,,31.30,3.56,,41.87,23.85,47.51
2025-03-19 06,52.47,51.20,,,24.65,36.58,32.18,38.88
2025-03-19 07,,50.98,28.26,3.44,,,32.71,
2025-03-19 08,54.14,53.56,32.96,3.41,25.42,38.25,35.06,40.96
2025-03-19 09,59.26,59.23,45.76,3.35,29.27,41.37,41.16,42.63
2025-03-19 10,65.72,,51.24,3.76,32.55,50.35,44.06,48.06
2025-03-19 11,,63.69,51.32,,32.20,51.96,48.15,
2025-03-19 12,70.20,62.07,,3.52,34.09,54.58,42.19,48.97
2025-03-19 13,78.23,68.09,54.08,3.75,40.83,59.23,,57.32
2025-03-19 14,78.91,66.21,55.43,3.52,,57.94,44.94,61.48
2025-03-19 15,84.17,,,,44.06,,44.71,59.80
2025-03-19 16,81.08,70.46,53.79,2.96,,54.88,36.53,
2025-03-19 17,77.93,64.15,55.23,3.30,44.78,,33.99,55.24
2025-03-19 18,,63.27,,3.11,41.02,51.24,,
2025-03-19 19,80.67,,54.26,,40.77,58.60,30.43,53.22
2025-03-19 20,80.66,60.46,57.48,3.33,,67.84,35.90,53.81
2025-03-19 21,,,55.99,3.28,43.11,66.13,35.19,50.23
2025-03-19 22,79.05,58.36,55.02,2.97,41.27,63.47,,
2025-03-19 23,77.64,61.63,,3.24,37.88,,35.74,55.27
2025-03-20 00,80.83,64.84,54.10,3.55,35.64,63.62,34.76,58.71
2025-03-20 01,75.02,,,3.49,,,33.34,58.82
2025-03-20 02,71.78,61.53,42.69,4.29,24.42,53.95,30.32,52.87
2025-03-20 03,67.50,56.76,40.14,4.28,24.70,51.89,,50.25
2025-03-20 04,,,35.19,4.16,26.72,46.73,28.76,
2025-03-20 05,62.62,56.50,33.55,,26.47,42.92,,49.22
2025-03-20 06,54.79,53.40,,3.97,24.14,,35.67,43.13
2025-03-20 07,,,28.92,,,38.34,,
2025-03-20 08,55.89,60.02,32.48,3.49,24.04,42.22,35.82,45.78
2025-03-20 09,60.81,66.70,46.76,3.62,32.42,47.13,42.72,47.83
2025-03-20 10,65.07,69.64,52.66,3.66,,52.03,52.87,48.44
2025-03-20 11,,,54.67,,33.87,57.16,49.98,
2025-03-20 12,75.06,64.32,57.22,3.16,35.98,59.55,43.67,53.40
2025-03-20 13,83.41,73.29,60.73,3.75,35.98,63.65,,65.80
2025-03-20 14,,73.57,62.58,4.09,38.26,56.82,42.78,
2025-03-20 15,86.15,,59.15,,41.50,,44.37,65.00
2025-03-20 16,83.37,75.05,59.77,3.90,43.32,58.49,,62.45
2025-03-20 17,78.04,65.94,56.57,,,55.02,38.22,
2025-03-20 18,76.16,64.92,,3.72,44.42,,,57.80
2025-03-20 19,,61.26,57.69,3.47,,60.31,32.11,
2025-03-20 20,80.89,60.78,60.75,,44.18,66.77,36.92,54.27
2025-03-20 21,77.60,,57.25,2.64,42.17,62.67,36.74,45.29
2025-03-20 22,76.01,58.26,59.40,,41.53,65.20,35.17,
2025-03-20 23,,,57.57,3.37,,62.26,,47.96
2025-03-21 00,79.95,59.46,54.05,,41.54,61.48,36.18,57.00
2025-03-21 01,75.88,63.94,46.01,3.79,28.86,,33.87,58.14
2025-03-21 02,75.12,67.58,44.62,4.06,27.41,57.01,31.83,
2025-03-21 03,72.66,,,4.03,27.32,52.40,29.44,56.60
2025-03-21 04,66.67,64.05,41.60,,28.64,48.09,31.50,52.53
2025-03-21 05,62.76,61.63,37.15,3.72,26.62,45.94,26.08,
2025-03-21 06,,,,4.01,23.82,,,51.52
2025-03-21 07,63.72,62.13,33.77,,,41.02,27.47,54.04
2025-03-21 08,68.60,69.88,35.68,3.84,26.09,46.45,30.38,57.91
2025-03-21 09,77.04,76.44,50.73,4.35,32.62,51.01,36.84,60.34
2025-03-21 10,80.23,77.68,55.46,4.73,,54.73,39.01,65.13
2025-03-21 11,82.65,73.16,57.28,4.42,34.03,57.13,37.38,65.28
2025-03-21 12,,,,4.01,34.66,,,
2025-03-21 13,77.74,70.29,57.37,,34.34,52.66,37.18,60.53
2025-03-21 14,83.07,72.18,61.79,3.68,40.01,60.56,40.56,63.80
2025-03-21 15,84.93,,63.59,4.92,47.40,60.19,41.32,71.06
2025-03-21 16,90.28,75.60,63.25,3.74,47.83,62.20,,65.50
2025-03-21 17,90.94,68.59,63.46,,45.95,57.19,40.09,56.40
2025-03-21 18,,63.40,,3.41,44.40,,,51.96
2025-03-21 19,84.10,,61.80,3.79,,65.14,34.97,
2025-03-21 20,82.02,66.45,66.76,3.08,48.02,72.01,37.65,55.14
2025-03-21 21,77.46,62.24,64.12,,,66.27,39.29,47.11
2025-03-21 22,,,,3.06,45.69,,39.96,
2025-03-21 23,81.64,64.00,63.68,2.93,45.73,68.97,39.60,52.75
2025-03-22 00,88.88,65.85,59.69,,41.59,73.87,,63.40
2025-03-22 01,87.00,69.91,51.07,4.38,27.44,,37.40,64.79
2025-03-22 02,,70.93,46.42,3.75,27.44,63.43,37.33,64.15
2025-03-22 03,84.44,,45.78,,,59.15,,61.26
2025-03-22 04,73.85,66.84,42.69,5.08,30.05,,32.27,60.24
2025-03-22 05,70.32,66.18,40.37,4.64,29.21,54.26,29.56,
2025-03-22 06,,66.87,36.71,,,,30.48,58.57
2025-03-22 07,72.29,,38.44,4.92,25.15,50.11,,63.43
2025-03-22 08,74.81,73.60,,,28.76,52.91,35.79,
2025-03-22 09,80.72,75.34,53.09,4.73,41.54,55.78,39.07,65.67
2025-03-22 10,87.47,76.95,58.29,5.29,43.19,62.14,43.49,69.20
2025-03-22 11,89.68,80.20,62.11,4.86,43.60,65.36,43.61,71.47
2025-03-22 12,88.57,,64.44,4.86,,67.39,44.71,69.17
2025-03-22 13,86.36,80.91,,3.69,49.89,62.76,43.35,
2025-03-22 14,,,61.92,3.94,49.37,,,69.69
2025-03-22 15,87.34,78.04,61.83,3.69,54.66,61.70,43.11,74.27
2025-03-22 16,88.22,74.84,61.57,3.49,,62.08,42.94,
2025-03-22 17,87.97,72.78,60.06,,52.63,58.00,40.77,69.63
2025-03-22 18,,72.86,,3.63,52.38,,,
2025-03-22 19,86.31,,66.13,3.43,,66.90,35.22,64.38
2025-03-22 20,92.03,75.41,67.11,,53.35,74.94,42.99,62.81
2025-03-22 21,89.62,,63.23,2.96,51.83,,,
2025-03-22 22,,68.60,61.94,3.52,52.81,72.89,45.05,61.82
2025-03-22 23,92.05,72.37,60.10,3.59,49.04,73.00,,
2025-03-23 00,94.98,80.98,58.74,3.96,46.67,78.02,43.29,73.29
2025-03-23 01,91.88,,50.67,4.63,,69.10,40.37,74.09
2025-03-23 02,90.78,78.84,,,29.58,,37.44,71.94
2025-03-23 03,85.89,70.68,46.50,4.92,29.97,65.67,34.94,65.31
2025-03-23 04,80.29,68.43,40.45,4.72,29.96,57.85,32.81,
2025-03-23 05,73.20,,38.50,4.89,,,,63.40
2025-03-23 06,,67.15,,4.06,29.99,54.08,42.42,56.88
2025-03-23 07,65.69,65.73,33.52,,28.02,47.13,47.84,
2025-03-23 08,67.91,72.59,38.32,4.23,29.59,51.05,,57.82
2025-03-23 09,72.51,79.30,55.12,3.91,39.33,56.47,48.99,61.13
2025-03-23 10,82.34,81.26,61.10,3.62,42.63,60.65,56.59,60.71
2025-03-23 11,,,61.50,3.21,,64.84,55.45,
2025-03-23 12,87.53,80.57,,,46.45,66.40,,64.66
2025-03-23 13,97.64,89.43,66.62,4.20,48.33,73.42,53.50,74.08
2025-03-23 14,98.10,91.03,,4.19,,,58.24,81.35
2025-03-23 15,99.80,82.99,65.86,,49.00,72.81,53.53,83.25
2025-03-23 16,92.08,76.26,62.57,3.62,,66.90,44.25,
2025-03-23 17,86.63,71.97,61.25,,48.62,62.80,41.52,69.45
2025-03-23 18,,,,3.52,49.82,,,
2025-03-23 19,86.62,70.42,63.49,3.75,50.57,73.68,43.40,62.62
2025-03-23 20,89.43,73.16,67.68,3.25,51.71,,44.78,63.30
2025-03-23 21,88.51,,,,51.83,74.99,,
2025-03-23 22,85.87,71.72,65.96,4.00,49.82,73.45,44.40,62.86
2025-03-23 23,92.55,,66.33,,45.25,78.37,44.34,
2025-03-24 00,,73.39,58.48,3.57,39.61,74.46,44.08,72.56
2025-03-24 01,96.05,81.98,48.43,5.60,,,40.30,
2025-03-24 02,89.07,78.83,44.81,6.21,24.11,69.13,39.20,71.97
2025-03-24 03,85.39,74.20,42.23,,26.16,66.52,36.80,65.06
2025-03-24 04,80.07,,39.07,5.64,28.30,60.57,,
2025-03-24 05,78.17,74.14,39.48,5.39,25.14,55.52,33.80,67.88
2025-03-24 06,,,35.90,,24.89,48.97,45.59,57.88
2025-03-24 07,71.08,69.19,,4.79,,,,
2025-03-24 08,77.05,78.97,36.67,4.75,24.93,52.14,48.77,65.06
2025-03-24 09,84.91,80.89,56.44,,39.93,56.38,50.10,66.42
2025-03-24 10,88.14,78.64,,4.85,41.62,63.21,57.80,67.75
2025-03-24 11,,,62.20,,43.40,,56.85,
2025-03-24 12,90.72,83.48,65.29,4.69,,69.92,46.58,62.43
2025-03-24 13,88.98,,63.39,4.50,42.80,,,66.29
2025-03-24 14,91.89,90.44,63.55,4.23,45.79,71.06,44.12,69.66
2025-03-24 15,94.12,86.19,62.80,3.52,48.39,64.03,46.28,77.86
2025-03-24 16,,78.96,62.01,,49.97,,38.92,66.78
2025-03-24 17,85.32,72.35,60.85,3.03,51.11,63.77,35.67,
2025-03-24 18,,,,3.72,48.00,,,62.58
2025-03-24 19,87.28,73.19,62.38,3.82,48.22,69.32,36.64,
2025-03-24 20,87.98,71.30,66.36,,,73.39,43.93,63.62
2025-03-24 21,,,66.11,3.27,51.62,77.38,44.74,53.26
2025-03-24 22,88.88,66.27,,,48.02,77.21,,
2025-03-24 23,88.17,69.57,67.90,3.69,45.87,,44.14,59.01
2025-03-25 00,95.78,71.19,59.78,4.00,42.67,78.25,46.77,65.58
2025-03-25 01,96.20,82.11,50.95,5.02,,75.74,41.37,70.93
2025-03-25 02,94.52,77.08,47.71,5.29,30.57,,40.59,73.45
2025-03-25 03,88.47,76.34,43.76,5.23,31.28,66.93,35.54,68.72
2025-03-25 04,81.62,74.78,40.77,,28.07,59.30,31.86,
2025-03-25 05,79.75,,39.58,5.04,26.28,55.18,,63.43
2025-03-25 06,,66.15,35.85,4.51,23.79,,43.77,
2025-03-25 07,72.76,71.55,,,,50.23,38.98,62.14
2025-03-25 08,,,37.94,4.70,25.77,52.75,,
2025-03-25 09,76.79,75.90,52.21,4.44,35.16,57.64,41.41,63.88
2025-03-25 10,78.59,76.70,59.26,4.50,,59.69,42.75,65.42
2025-03-25 11,79.59,75.82,61.07,,35.08,61.57,,60.91
2025-03-25 12,81.24,72.31,59.75,4.44,42.32,64.21,40.30,
2025-03-25 13,80.89,69.73,,,,59.37,39.22,57.94
2025-03-25 14,,,59.14,4.03,42.26,55.15,,
2025-03-25 15,80.99,70.40,58.26,3.90,,,40.12,63.77
2025-03-25 16,,69.47,56.44,,43.65,55.33,,
2025-03-25 17,77.83,,57.29,3.02,44.06,52.69,37.24,58.57
2025-03-25 18,,66.18,,3.18,42.70,,,56.13
2025-03-25 19,76.06,,56.11,3.82,,59.47,35.10,
2025-03-25 20,77.87,63.40,59.94,3.05,42.98,67.77,44.24,54.80
2025-03-25 21,,57.41,62.70,2.77,45.09,69.48,,46.12
2025-03-25 22,76.19,62.05,61.42,3.09,42.57,66.54,42.13,
2025-03-25 23,76.70,60.28,57.61,,40.80,64.60,38.56,47.02
2025-03-26 00,,,52.05,3.63,36.77,62.80,38.13,53.00
2025-03-26 01,76.58,61.51,44.65,4.35,26.08,56.50,33.14,55.12
2025-03-26 02,70.65,63.23,41.46,4.12,27.01,55.40,31.23,56.12
2025-03-26 03,,60.56,,3.88,26.75,52.60,28.43,
2025-03-26 04,67.39,60.44,38.61,,,,,56.71
2025-03-26 05,62.83,,36.56,4.59,25.33,51.51,28.58,54.17
2025-03-26 06,60.40,59.06,,4.73,24.49,40.36,29.78,
2025-03-26 07,,60.81,31.17,,,,,52.50
2025-03-26 08,63.18,64.35,36.59,3.72,23.78,43.99,29.33,55.08
2025-03-26 09,68.92,71.38,45.09,3.98,33.33,47.77,35.19,55.12
2025-03-26 10,76.04,70.74,51.11,3.81,33.25,51.02,37.62,
2025-03-26 11,,67.81,53.26,,34.63,55.65,,58.00
2025-03-26 12,72.86,67.97,,3.44,39.41,55.62,41.18,
2025-03-26 13,74.42,66.68,54.54,,,,34.84,50.36
2025-03-26 14,,65.36,55.58,3.18,39.76,53.34,,
2025-03-26 15,76.67,,55.71,3.00,42.98,49.57,38.32,57.48
2025-03-26 16,73.46,65.98,56.79,,,54.42,33.77,
2025-03-26 17,71.77,,58.39,3.60,41.93,49.87,32.64,56.47
2025-03-26 18,,60.81,,3.05,41.19,,,58.45
2025-03-26 19,79.08,,57.80,3.47,,56.21,31.89,
2025-03-26 20,75.56,59.20,59.55,2.83,44.20,64.95,37.03,53.19
2025-03-26 21,,,60.63,2.97,44.37,65.92,36.53,43.49
2025-03-26 22,71.36,52.77,58.96,,39.73,63.88,35.67,
2025-03-26 23,71.78,56.09,58.27,2.96,38.48,,,43.40
2025-03-27 00,71.41,54.90,53.51,,36.30,63.61,34.50,48.41
2025-03-27 01,74.18,,46.88,3.65,,53.07,31.80,52.77
2025-03-27 02,67.11,58.57,42.61,,24.84,,30.16,53.66
2025-03-27 03,63.72,55.72,,3.62,,48.80,26.54,47.92
2025-03-27 04,,,38.20,3.94,26.94,42.32,,
2025-03-27 05,62.80,55.67,36.58,,22.90,37.91,26.12,48.46
2025-03-27 06,,,33.17,4.64,,,,
2025-03-27 07,57.64,55.80,,3.72,21.56,36.59,27.54,47.71
2025-03-27 08,61.12,62.71,45.24,3.75,25.93,41.97,29.74,51.13
2025-03-27 09,67.08,66.74,52.53,,29.80,47.35,34.91,55.77
2025-03-27 10,75.06,69.88,55.92,3.35,38.35,53.15,,54.23
2025-03-27 11,,71.69,59.91,,39.10,56.81,33.15,56.34
2025-03-27 12,74.33,69.88,62.04,3.50,41.35,55.67,38.07,
2025-03-27 13,76.03,,61.16,,,,,54.44
2025-03-27 14,,66.71,62.54,4.10,40.96,56.09,35.38,
2025-03-27 15,73.04,64.07,61.14,3.65,45.69,51.87,36.94,58.83
2025-03-27 16,77.36,66.07,63.09,3.28,47.08,53.70,35.45,57.07
2025-03-27 17,75.57,63.14,58.45,3.43,,51.58,30.81,57.42
2025-03-27 18,,60.37,,3.59,47.07,,,57.63
2025-03-27 19,79.28,,57.79,3.21,,66.33,35.22,
2025-03-27 20,78.49,60.10,61.70,3.06,48.18,67.91,40.56,56.60
2025-03-27 21,,,58.68,3.03,46.94,66.24,36.45,46.41
2025-03-27 22,76.85,56.78,,3.53,46.01,64.87,35.79,46.12
2025-03-27 23,77.24,57.94,62.81,,42.42,,,
2025-03-28 00,77.33,59.05,,2.86,41.22,66.90,34.69,50.82
2025-03-28 01,77.07,59.89,57.19,3.84,30.21,55.24,36.51,55.92
2025-03-28 02,71.25,60.19,45.57,4.16,,,32.07,59.33
2025-03-28 03,69.49,57.98,,3.91,29.31,57.45,31.14,
2025-03-28 04,,59.47,43.76,4.20,27.85,,,53.15
2025-03-28 05,66.51,56.62,39.70,5.07,28.38,50.82,29.12,52.65
2025-03-28 06,,57.12,,4.41,27.70,,27.22,
2025-03-28 07,62.49,,36.67,4.19,,42.16,,54.61
2025-03-28 08,69.25,62.21,48.00,4.22,25.77,45.22,30.34,63.49
2025-03-28 09,73.63,,50.99,,32.93,49.84,34.51,66.80
2025-03-28 10,74.70,68.98,60.60,3.96,35.32,52.74,36.96,67.50
2025-03-28 11,81.04,76.26,59.53,4.10,38.54,57.95,35.14,63.74
2025-03-28 12,,,,,,,,
2025-03-28 13,74.50,69.51,58.64,4.06,38.73,53.94,37.90,55.67
2025-03-28 14,,,60.13,4.06,39.77,54.93,,
2025-03-28 15,72.60,67.36,,3.65,43.83,,36.97,57.88
2025-03-28 16,77.48,65.00,57.60,3.81,43.49,55.23,34.92,
2025-03-28 17,75.35,,56.25,,42.89,52.38,34.16,56.24
2025-03-28 18,,62.26,,3.15,,,,54.68
2025-03-28 19,75.91,,62.49,3.52,42.86,58.85,36.51,
2025-03-28 20,74.61,63.85,,3.78,,65.17,38.22,55.64
2025-03-28 21,,56.81,63.03,,45.15,,38.44,44.81
2025-03-28 22,71.28,58.83,63.14,2.97,44.27,64.47,35.85,
2025-03-28 23,72.92,,63.23,2.64,,,35.23,46.10
2025-03-29 00,75.06,58.23,59.97,,39.71,66.01,,51.62
2025-03-29 01,75.60,61.19,58.54,3.08,,60.62,35.92,55.90
2025-03-29 02,71.97,63.58,,3.30,28.70,,34.57,60.06
2025-03-29 03,69.04,,46.55,4.16,28.08,54.67,30.54,54.76
2025-03-29 04,,62.46,41.43,4.94,28.74,50.36,30.05,
2025-03-29 05,68.62,65.06,39.82,4.85,27.54,46.04,28.16,54.00
2025-03-29 06,,,,,27.38,,28.36,
2025-03-29 07,65.44,62.52,38.28,4.19,,42.97,,54.10
2025-03-29 08,68.98,66.29,47.11,4.31,28.11,48.14,30.98,61.22
2025-03-29 09,74.02,73.73,55.46,4.70,36.92,53.29,37.50,61.72
2025-03-29 10,80.19,,59.61,4.32,36.12,58.46,,63.03
2025-03-29 11,,75.13,64.21,,,61.44,39.85,63.55
2025-03-29 12,80.25,,65.80,4.15,38.50,64.21,40.55,
2025-03-29 13,82.84,73.27,66.67,3.69,39.96,61.60,37.12,67.43
2025-03-29 14,,72.47,,,,,,
2025-03-29 15,81.83,71.24,66.08,4.10,41.19,62.54,38.23,64.68
2025-03-29 16,82.22,72.66,64.13,3.33,46.42,55.96,37.03,
2025-03-29 17,78.28,70.32,60.94,2.83,,53.38,35.06,61.34
2025-03-29 18,,67.28,,,45.40,,,61.67
2025-03-29 19,82.31,65.55,61.76,3.66,44.65,62.01,38.59,
2025-03-29 20,84.41,68.86,68.21,,43.99,69.11,,60.24
2025-03-29 21,,,65.60,3.50,45.98,,41.35,52.59
2025-03-29 22,78.20,68.53,65.73,3.71,45.88,67.90,39.10,
2025-03-29 23,80.29,,63.61,,,,38.76,50.92
2025-03-30 00,83.72,64.88,62.39,3.71,41.98,67.84,,60.50
2025-03-30 01,84.86,67.94,56.63,3.87,35.71,62.49,37.74,66.08
2025-03-30 02,81.21,,52.90,4.38,25.14,,35.26,
2025-03-30 03,75.91,69.29,48.14,,26.18,57.75,,65.36
2025-03-30 04,,67.27,,4.26,,54.68,32.93,
2025-03-30 05,73.11,69.08,46.86,5.48,29.05,52.06,34.01,58.65
2025-03-30 06,,,39.48,4.63,,,,
2025-03-30 07,68.81,63.72,,4.67,26.62,47.99,29.44,58.85
2025-03-30 08,75.87,72.86,48.25,4.70,27.70,51.92,34.76,66.26
2025-03-30 09,78.67,,59.87,5.11,39.20,55.64,34.48,68.28
2025-03-30 10,85.15,77.41,,,40.67,59.99,40.07,68.92
2025-03-30 11,84.01,81.35,67.46,4.69,45.25,63.05,43.46,69.71
2025-03-30 12,,,,,45.27,63.81,41.54,69.29
2025-03-30 13,88.49,81.39,70.49,4.50,48.71,65.55,,67.05
2025-03-30 14,89.78,79.76,68.82,,,,38.29,
2025-03-30 15,86.55,,,3.93,52.15,65.20,40.80,71.49
2025-03-30 16,84.32,78.55,66.95,4.37,,64.40,36.17,61.61
2025-03-30 17,84.55,,68.73,,48.81,56.78,35.45,
2025-03-30 18,,74.48,,4.04,49.97,,,66.99
2025-03-30 19,83.35,,68.48,3.84,52.31,68.31,36.12,
2025-03-30 20,90.63,71.22,75.00,,51.49,76.29,44.37,65.57
2025-03-30 21,89.87,71.05,,3.84,,74.18,45.51,
2025-03-30 22,94.00,80.10,74.93,3.93,52.09,,45.35,70.08
2025-03-30 23,98.00,83.26,76.15,4.78,48.24,74.86,,76.04
2025-03-31 00,100.93,81.93,72.44,,,73.73,47.08,
2025-03-31 01,95.16,,69.63,5.89,47.33,69.30,44.09,75.05
2025-03-31 02,86.93,82.59,63.27,,35.80,64.31,37.90,69.74
2025-03-31 03,82.33,,,6.28,35.08,59.33,35.99,
2025-03-31 04,82.03,71.33,50.60,5.33,32.40,,,65.89
2025-03-31 05,,70.39,49.15,4.31,27.26,59.75,33.19,
2025-03-31 06,79.40,63.31,43.20,3.69,24.77,,25.30,69.23
2025-03-31 07,71.14,,,3.24,,46.91,,52.52
2025-03-31 08,,66.84,45.44,4.72,28.38,45.72,26.71,
2025-03-31 09,77.92,,,,29.65,53.75,29.12,59.45
2025-03-31 10,82.97,69.73,46.63,4.34,32.67,55.21,31.25,67.02
2025-03-31 11,87.10,75.75,50.38,4.97,33.69,58.35,32.37,70.81
2025-03-31 12,97.39,84.47,51.58,5.14,,63.84,34.10,83.44
2025-03-31 13,104.84,90.84,57.28,5.90,47.10,,37.35,
2025-03-31 14,106.81,96.70,61.77,6.58,46.22,65.10,40.33,94.35
2025-03-31 15,104.67,102.02,63.93,6.84,,67.61,46.51,94.46
2025-03-31 16,94.30,94.44,65.20,,46.79,65.69,40.21,85.42
2025-03-31 17,82.15,76.22,,5.19,,,34.54,69.07
2025-03-31 18,85.56,77.05,57.64,5.04,47.83,59.78,,67.30
2025-03-31 19,79.81,,61.20,5.05,,59.99,32.51,
2025-03-31 20,,67.65,54.95,,47.42,,29.49,63.75
2025-03-31 21,77.95,64.12,,6.08,,53.47,,
2025-03-31 22,79.59,74.67,55.64,,43.65,54.82,32.32,62.87
2025-03-31 23,89.49,,54.44,5.89,40.71,59.89,36.01,71.43
2025-04-01 00,95.70,82.71,,,,66.76,40.15,79.56
2025-04-01 01,93.68,85.33,54.98,7.22,25.78,68.48,39.08,73.99
2025-04-01 02,87.66,,,,29.39,64.29,37.74,70.99
2025-04-01 03,,81.17,50.86,5.98,27.85,64.29,,67.72
2025-04-01 04,84.30,77.38,50.06,6.59,,61.42,38.45,
2025-04-01 05,72.76,72.20,44.75,5.55,27.75,51.87,33.68,68.62
2025-04-01 06,68.91,70.15,,4.72,25.47,,30.51,
2025-04-01 07,,,41.25,4.50,,45.78,30.56,61.16
2025-04-01 08,70.43,71.85,48.27,,33.40,48.12,30.16,
2025-04-01 09,76.34,71.24,58.79,4.75,35.98,50.73,31.76,62.39
2025-04-01 10,74.67,75.09,,4.94,37.06,,34.84,
2025-04-01 11,76.73,,59.52,4.47,37.56,51.68,,62.60
2025-04-01 12,88.54,78.42,63.49,4.82,39.17,56.84,34.89,69.82
2025-04-01 13,,83.95,62.46,,39.85,58.42,,
2025-04-01 14,92.64,87.70,,6.18,41.08,64.82,38.26,73.93
2025-04-01 15,97.14,92.87,61.03,5.23,41.05,69.82,47.43,93.39
2025-04-01 16,97.96,92.51,63.96,,43.24,66.96,41.28,79.91
