,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
,,,,,,,,
2025-03-04 23,61.25,48.87,47.98,,,48.84,,43.05
2025-03-05 00,58.27,,43.39,2.81,34.16,43.04,30.02,45.09
2025-03-05 01,54.26,47.57,36.21,3.24,,40.08,23.41,42.70
2025-03-05 02,53.10,45.85,,3.33,27.61,36.84,21.17,38.70
2025-03-05 03,47.29,44.12,33.36,3.76,27.66,35.03,19.63,35.54
2025-03-05 04,47.26,42.76,30.06,3.74,,34.04,18.27,35.88
2025-03-05 05,48.33,44.74,,3.24,26.73,32.80,,38.32
2025-03-05 06,41.60,44.72,28.93,3.28,27.99,29.05,28.23,35.06
2025-03-05 07,39.29,,26.79,2.81,25.01,29.78,,32.58
2025-03-05 08,,41.05,29.06,2.64,,,25.64,
2025-03-05 09,41.84,44.66,38.85,2.59,33.09,35.96,30.59,37.47
2025-03-05 10,45.44,46.66,41.57,,33.18,38.75,37.57,
2025-03-05 11,51.84,48.91,42.92,2.71,32.29,42.58,35.10,37.03
2025-03-05 12,55.20,51.58,45.91,2.58,,43.68,,39.87
2025-03-05 13,61.32,56.35,50.00,2.92,35.89,49.97,32.20,46.13
2025-03-05 14,,,47.37,2.34,38.59,39.38,35.76,48.69
2025-03-05 15,57.54,51.46,46.50,2.65,37.78,,31.85,49.38
2025-03-05 16,65.19,55.46,,,,42.92,28.05,
2025-03-05 17,65.66,54.23,47.74,3.31,37.88,,27.42,49.98
2025-03-05 18,64.27,52.47,,2.87,39.36,44.91,,56.82
2025-03-05 19,69.44,52.21,50.48,2.93,39.24,52.96,32.40,
2025-03-05 20,69.28,50.00,53.38,,,59.74,31.30,49.89
2025-03-05 21,67.02,,54.23,3.15,44.55,58.79,,
2025-03-05 22,,51.26,54.55,2.68,,58.14,33.31,45.27
2025-03-05 23,66.05,51.10,50.23,,38.50,50.35,32.96,
2025-03-06 00,63.37,,42.12,3.66,32.86,47.74,29.33,47.27
2025-03-06 01,56.76,50.69,39.29,,24.41,40.86,26.97,49.24
2025-03-06 02,54.11,47.33,35.89,4.06,,38.83,22.90,44.11
2025-03-06 03,,45.84,34.01,3.71,25.65,37.41,20.27,41.30
2025-03-06 04,49.40,,30.66,4.13,25.61,34.54,19.70,
2025-03-06 05,46.12,47.43,,3.35,,33.12,,41.06
2025-03-06 06,,44.66,29.58,2.94,24.29,31.83,28.40,42.38
2025-03-06 07,39.98,,,,24.87,,,
2025-03-06 08,43.84,47.20,29.40,2.89,31.17,30.57,28.77,39.20
2025-03-06 09,,49.67,40.21,,,34.54,31.60,
2025-03-06 10,49.88,,45.41,2.93,31.26,42.91,39.24,39.52
