,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
2025-06-15 21,176.86,149.73,100.14,,64.60,139.03,75.00,127.62
2025-06-15 22,184.36,147.81,88.95,75.22,59.37,,76.58,138.90
2025-06-15 23,182.50,156.00,79.57,81.62,46.33,139.63,73.32,142.51
2025-06-16 00,183.65,153.32,,85.15,,141.13,72.10,138.98
2025-06-16 01,180.37,146.96,72.79,84.67,43.13,138.80,64.81,
2025-06-16 02,,,,82.02,41.50,,,133.54
2025-06-16 03,175.77,144.81,68.28,82.61,42.22,134.86,64.65,130.29
2025-06-16 04,162.37,143.33,68.10,76.61,41.02,131.65,,129.72
2025-06-16 05,149.07,,,70.05,,,62.55,
2025-06-16 06,,144.61,60.88,,38.94,110.35,69.80,110.41
2025-06-16 07,151.98,150.39,70.08,68.76,40.52,,72.72,111.23
2025-06-16 08,156.54,155.47,90.15,67.11,53.29,109.05,78.34,113.44
2025-06-16 09,154.71,160.23,103.42,,63.65,122.28,84.93,116.03
2025-06-16 10,158.50,167.57,105.47,63.91,62.49,,86.41,113.30
2025-06-16 11,167.42,168.86,105.49,69.33,59.12,131.37,83.03,123.84
2025-06-16 12,178.72,178.82,106.01,76.47,62.20,,82.09,135.55
2025-06-16 13,194.07,183.83,101.09,81.68,,153.36,,151.38
2025-06-16 14,203.68,182.51,97.30,88.92,64.87,162.02,82.83,157.70
2025-06-16 15,204.28,166.22,,90.52,63.56,144.95,,163.69
2025-06-16 16,173.56,144.20,103.35,69.49,64.47,137.64,83.68,127.86
2025-06-16 17,159.73,,103.29,,66.15,122.08,74.29,
2025-06-16 18,,131.33,,57.98,,,,109.41
2025-06-16 19,180.24,155.22,109.25,74.30,63.18,135.88,77.32,134.61
2025-06-16 20,182.60,155.19,99.95,72.26,64.34,135.64,79.00,
2025-06-16 21,185.47,154.21,,72.03,,133.34,,129.83
2025-06-16 22,,154.46,100.43,77.33,57.51,141.74,73.87,140.45
2025-06-16 23,192.72,160.00,83.40,85.81,40.64,147.95,77.27,146.61
2025-06-17 00,192.53,160.19,,86.74,33.50,,71.62,148.64
2025-06-17 01,191.64,158.56,77.46,86.00,,145.64,,143.52
2025-06-17 02,,154.80,75.82,,34.29,143.59,66.20,
2025-06-17 03,182.31,150.65,,82.40,36.29,136.13,64.81,134.16
2025-06-17 04,,149.93,69.82,81.30,,126.77,,134.45
2025-06-17 05,163.86,141.82,,,36.97,113.68,65.17,115.48
2025-06-17 06,150.93,145.30,64.69,68.89,37.41,,68.76,
2025-06-17 07,154.02,152.77,69.89,67.72,36.64,108.72,70.48,115.67
2025-06-17 08,154.11,155.40,91.91,68.53,55.94,112.81,77.84,115.02
2025-06-17 09,161.59,158.62,105.87,67.24,61.99,127.46,82.77,118.99
2025-06-17 10,166.16,169.55,110.41,64.37,67.21,128.37,83.57,122.03
2025-06-17 11,175.19,177.56,112.84,70.10,69.89,142.32,86.77,131.02
2025-06-17 12,182.73,178.62,110.86,76.92,74.86,,87.73,148.56
2025-06-17 13,191.59,179.05,,80.16,,145.64,,149.36
2025-06-17 14,206.23,178.38,99.82,85.51,72.20,157.29,78.93,158.97
2025-06-17 15,202.99,,,92.14,73.48,158.50,78.55,164.70
2025-06-17 16,173.28,164.49,105.63,69.42,74.02,147.15,77.79,135.93
2025-06-17 17,,,107.22,58.93,,138.67,80.69,
2025-06-17 18,155.02,142.96,,,71.97,,,113.16
2025-06-17 19,186.77,161.18,108.46,74.42,71.06,140.86,80.26,142.01
2025-06-17 20,190.61,159.72,110.91,,73.68,,80.13,
2025-06-17 21,191.05,,103.48,70.64,66.77,132.72,78.02,136.24
2025-06-17 22,,152.83,96.79,80.29,64.68,136.53,81.20,146.07
2025-06-17 23,194.44,156.32,85.74,83.65,46.39,143.25,,148.01
2025-06-18 00,187.38,161.42,,82.85,33.19,146.94,74.68,143.02
2025-06-18 01,,157.49,77.45,84.69,,,69.11,
2025-06-18 02,180.84,153.11,,83.62,34.48,140.53,65.28,139.44
2025-06-18 03,182.17,,74.02,84.01,34.53,140.57,65.00,139.52
2025-06-18 04,,150.78,71.15,77.57,37.79,139.31,,128.19
2025-06-18 05,167.12,,,,35.79,128.90,66.77,
2025-06-18 06,153.13,148.61,64.16,70.74,34.22,115.87,72.32,116.84
2025-06-18 07,,154.49,70.86,68.44,37.69,113.52,,114.73
2025-06-18 08,159.26,157.34,95.98,63.64,73.01,113.87,83.50,
2025-06-18 09,163.32,161.37,104.37,,70.24,123.87,89.23,120.85
2025-06-18 10,165.28,162.37,109.66,59.97,69.42,126.58,87.13,
2025-06-18 11,171.19,175.93,109.06,69.25,75.09,133.83,,129.07
2025-06-18 12,186.36,184.84,107.76,75.54,74.59,138.99,86.60,144.67
2025-06-18 13,196.44,174.37,,85.52,,146.59,,149.27
2025-06-18 14,210.14,,98.54,90.47,72.92,150.05,82.33,158.43
2025-06-18 15,208.53,171.38,,96.68,76.31,150.20,79.73,162.35
2025-06-18 16,174.79,144.29,104.24,72.25,74.83,137.95,79.05,132.50
2025-06-18 17,,,104.96,,75.13,119.26,75.50,
2025-06-18 18,160.29,136.81,,56.65,65.89,,,116.97
2025-06-18 19,189.35,161.65,104.80,74.07,66.98,136.35,82.85,146.52
2025-06-18 20,190.60,157.70,109.55,70.97,69.19,139.56,,
2025-06-18 21,194.33,,107.36,,72.31,140.75,79.76,135.36
2025-06-18 22,,154.33,100.87,77.54,68.85,147.59,78.55,141.36
2025-06-18 23,199.08,157.87,79.85,86.09,66.02,147.16,73.33,147.50
2025-06-19 00,196.18,159.98,,87.13,38.37,150.45,71.12,145.79
2025-06-19 01,190.14,155.16,76.44,,,146.17,,141.51
2025-06-19 02,,,74.33,84.01,37.27,,65.41,
2025-06-19 03,187.84,148.15,71.65,84.47,40.91,142.96,,139.91
2025-06-19 04,174.50,,67.58,78.81,40.09,138.92,64.37,129.16
2025-06-19 05,,140.07,,,36.56,122.22,67.36,
2025-06-19 06,162.34,148.01,65.96,71.52,,,71.49,120.53
2025-06-19 07,158.56,154.53,74.97,,37.19,117.25,73.55,120.65
2025-06-19 08,165.86,159.62,95.85,70.02,60.09,117.21,82.02,115.93
2025-06-19 09,170.09,165.21,108.21,,65.06,128.08,88.42,117.92
2025-06-19 10,169.62,162.74,113.50,65.48,63.71,,,123.70
2025-06-19 11,183.11,176.18,,71.03,65.80,142.07,86.25,131.61
2025-06-19 12,192.50,187.04,112.09,78.28,65.04,152.67,88.42,149.10
2025-06-19 13,204.69,188.49,,82.33,,157.58,,155.85
2025-06-19 14,210.34,179.22,104.01,87.44,66.07,160.38,81.86,162.46
2025-06-19 15,210.08,,,88.27,64.95,156.77,82.02,169.58
2025-06-19 16,179.64,170.12,106.26,68.50,65.99,150.75,83.75,137.73
2025-06-19 17,155.76,,108.46,51.43,64.31,,,
2025-06-19 18,,134.90,,,66.05,123.87,76.06,109.94
2025-06-19 19,183.17,158.06,116.40,72.20,64.35,143.00,80.73,136.63
2025-06-19 20,184.97,158.69,,66.73,64.65,,,
2025-06-19 21,181.30,159.19,114.41,68.91,,145.54,79.24,138.98
2025-06-19 22,190.83,164.42,111.61,76.80,59.52,151.05,80.20,150.97
2025-06-19 23,206.67,164.38,89.26,84.22,58.17,147.21,82.64,163.61
2025-06-20 00,210.59,170.49,83.75,86.85,38.29,154.11,77.32,153.77
2025-06-20 01,206.74,168.27,79.73,87.04,,,,
2025-06-20 02,191.84,,78.40,,39.79,151.03,75.52,151.49
2025-06-20 03,,160.60,,84.55,39.77,146.93,,147.68
2025-06-20 04,187.62,156.85,74.97,83.13,39.64,132.12,70.27,
2025-06-20 05,,,71.49,,38.57,,69.74,137.04
2025-06-20 06,172.76,145.52,69.54,73.77,40.18,124.00,67.71,131.04
2025-06-20 07,174.88,152.07,75.82,74.61,,125.95,70.58,134.40
2025-06-20 08,176.96,155.78,97.88,75.65,70.86,129.41,76.66,138.27
2025-06-20 09,187.77,158.66,108.77,73.82,69.54,137.04,79.47,137.20
2025-06-20 10,195.83,164.36,111.99,75.71,71.91,140.73,83.00,144.47
2025-06-20 11,198.79,,105.00,74.65,73.77,139.09,78.56,144.75
2025-06-20 12,200.11,155.73,,80.73,71.66,143.37,,150.68
2025-06-20 13,212.06,170.60,105.88,85.65,71.31,166.97,79.12,161.61
2025-06-20 14,216.72,182.20,101.68,83.95,73.14,169.08,78.88,167.85
2025-06-20 15,219.41,183.11,105.24,88.42,78.56,157.17,83.60,179.70
2025-06-20 16,181.79,150.96,114.85,65.14,,143.94,85.48,136.48
2025-06-20 17,161.02,134.46,106.04,,70.11,126.25,,109.60
2025-06-20 18,,,,51.67,,,78.31,
2025-06-20 19,185.68,157.29,114.15,75.52,72.48,145.33,83.05,134.02
2025-06-20 20,,156.76,114.63,,71.93,,,133.14
2025-06-20 21,192.59,156.45,111.63,70.90,71.37,138.78,80.86,127.39
2025-06-20 22,199.99,160.26,102.88,76.31,,139.05,78.43,140.57
2025-06-20 23,207.46,164.16,89.30,85.49,66.04,152.33,81.95,155.97
2025-06-21 00,208.76,170.18,,93.08,,155.31,81.45,155.06
2025-06-21 01,199.50,168.46,85.33,91.23,38.28,156.61,,
2025-06-21 02,,165.40,78.50,89.34,44.05,,74.20,149.82
2025-06-21 03,195.49,161.80,,88.30,,149.02,74.77,150.36
2025-06-21 04,182.92,158.36,76.72,87.73,42.83,136.24,71.28,141.39
2025-06-21 05,175.28,,74.27,,,126.11,,
2025-06-21 06,,151.34,71.19,76.53,41.15,,70.49,134.14
2025-06-21 07,179.08,156.54,75.56,,62.45,125.79,72.85,133.23
2025-06-21 08,181.37,,101.12,77.01,75.15,127.45,83.88,138.93
2025-06-21 09,183.32,159.13,114.70,76.75,78.56,137.69,87.76,140.56
2025-06-21 10,186.69,160.66,116.49,,73.68,141.20,89.86,139.66
2025-06-21 11,202.24,164.39,117.62,79.06,75.85,151.81,88.41,150.23
2025-06-21 12,200.44,172.89,109.37,83.29,78.06,153.61,92.80,160.39
2025-06-21 13,210.78,173.71,105.55,85.17,,156.64,,163.95
2025-06-21 14,212.95,184.34,103.69,92.29,76.47,168.01,82.50,173.05
2025-06-21 15,217.48,180.31,,,78.50,156.20,,174.40
2025-06-21 16,183.49,173.20,110.03,86.11,79.73,145.26,83.97,138.14
2025-06-21 17,162.43,,111.29,,77.42,,75.18,
2025-06-21 18,,142.97,,51.05,75.00,125.53,,115.05
2025-06-21 19,198.39,164.35,116.97,69.61,,148.56,78.71,148.99
2025-06-21 20,200.00,,112.86,74.72,71.91,,79.69,151.10
2025-06-21 21,197.75,168.80,,76.97,67.90,143.63,80.89,
2025-06-21 22,203.04,,106.66,84.52,,144.69,79.57,152.86
2025-06-21 23,204.69,169.83,88.61,87.84,65.48,146.15,,158.41
2025-06-22 00,198.57,169.87,77.77,90.25,,154.06,76.51,150.99
2025-06-22 01,,,75.08,88.71,45.57,,,147.12
2025-06-22 02,190.25,159.62,,,46.09,147.72,68.43,
2025-06-22 03,182.89,157.73,73.63,86.81,48.58,,,143.50
2025-06-22 04,175.73,145.67,67.75,,47.14,142.96,66.98,132.49
2025-06-22 05,162.21,,,80.72,45.85,,72.44,123.23
2025-06-22 06,,150.81,67.30,73.45,44.88,117.72,73.25,
2025-06-22 07,163.32,162.25,78.86,,49.32,120.09,74.17,119.61
2025-06-22 08,162.82,162.79,100.52,70.49,62.39,117.27,85.43,123.86
2025-06-22 09,172.21,168.92,112.39,69.23,65.66,128.18,91.67,126.66
2025-06-22 10,,172.40,120.20,63.28,68.35,131.45,95.85,122.13
2025-06-22 11,179.89,175.57,120.80,65.88,,136.70,,130.67
2025-06-22 12,184.64,185.10,110.06,78.59,70.53,138.39,87.40,145.26
2025-06-22 13,202.01,,,87.60,71.81,151.15,84.14,157.40
2025-06-22 14,212.88,184.36,107.76,90.87,73.51,159.25,78.83,165.90
2025-06-22 15,218.21,180.02,,93.14,73.55,159.91,77.82,171.32
2025-06-22 16,178.66,167.99,107.73,78.68,72.86,140.48,82.53,137.29
2025-06-22 17,,138.56,105.91,,73.58,122.85,,113.21
2025-06-22 18,160.45,,,56.94,73.30,,75.94,
2025-06-22 19,183.46,158.02,111.92,71.08,72.32,136.46,77.63,137.73
2025-06-22 20,181.94,,114.80,69.88,71.85,138.26,,
2025-06-22 21,177.49,152.61,,69.48,69.08,141.80,78.46,130.08
2025-06-22 22,188.34,155.40,109.30,78.62,,,77.79,140.44
2025-06-22 23,194.54,158.24,82.66,87.02,64.84,142.53,77.07,147.31
2025-06-23 00,197.64,157.34,,92.65,36.75,147.59,74.36,146.70
2025-06-23 01,,154.17,79.00,85.39,,146.64,70.14,142.93
2025-06-23 02,185.94,151.63,76.63,,41.12,,65.36,
2025-06-23 03,182.41,150.15,74.59,84.20,37.49,141.16,,138.24
2025-06-23 04,,147.56,,80.79,38.40,128.00,63.24,128.81
2025-06-23 05,170.85,,69.00,71.65,38.54,117.85,66.46,117.03
2025-06-23 06,156.23,147.19,66.15,,37.62,,68.62,
2025-06-23 07,159.91,160.29,78.01,70.26,59.26,114.13,,119.55
2025-06-23 08,159.00,162.62,100.29,68.91,65.29,115.20,80.12,122.10
2025-06-23 09,165.55,166.47,111.67,,70.24,122.51,88.29,121.95
2025-06-23 10,166.72,170.47,113.66,63.24,63.56,127.07,89.14,
2025-06-23 11,174.25,176.01,116.11,68.62,63.66,130.76,87.92,131.28
2025-06-23 12,188.18,188.15,115.89,77.80,67.97,138.65,85.49,145.52
2025-06-23 13,198.83,192.22,,85.58,73.13,145.73,,153.14
2025-06-23 14,202.62,187.24,102.04,90.79,,156.50,77.74,165.46
2025-06-23 15,203.62,173.88,101.59,91.78,74.84,,79.13,172.08
2025-06-23 16,176.73,,108.65,76.70,75.90,145.95,80.57,139.43
2025-06-23 17,158.87,152.61,107.58,62.19,72.28,123.54,82.58,104.83
2025-06-23 18,,,,,,,,
2025-06-23 19,180.52,159.29,115.10,72.57,69.63,137.35,80.28,135.20
2025-06-23 20,183.67,155.38,,72.04,69.83,,83.79,
2025-06-23 21,181.11,,107.17,,70.90,134.95,,128.90
2025-06-23 22,187.58,151.28,104.70,79.30,,,76.72,141.35
2025-06-23 23,191.40,160.04,90.21,83.72,63.64,141.74,74.77,145.23
2025-06-24 00,192.02,161.46,81.13,83.40,,147.30,72.92,144.35
2025-06-24 01,179.79,161.14,76.03,83.09,36.73,,73.33,143.49
2025-06-24 02,,,73.83,,38.72,142.74,,
2025-06-24 03,178.83,150.14,70.39,81.99,39.46,138.76,64.75,135.62
2025-06-24 04,176.97,146.71,,,40.23,134.36,,
2025-06-24 05,173.83,143.78,67.34,74.58,38.23,125.78,70.83,127.72
2025-06-24 06,154.74,148.04,65.17,,37.57,114.10,73.00,120.40
2025-06-24 07,,155.22,72.23,66.81,44.45,112.87,74.93,115.74
2025-06-24 08,160.29,162.57,98.31,65.42,65.00,116.58,81.23,118.19
2025-06-24 09,166.31,167.70,110.63,,65.48,128.08,84.70,117.76
2025-06-24 10,166.90,173.62,114.15,63.30,66.83,128.34,86.33,114.64
2025-06-24 11,170.69,178.73,117.95,69.64,66.95,135.06,,129.88
2025-06-24 12,181.47,181.52,118.06,74.68,67.74,,84.47,148.60
2025-06-24 13,200.94,,,79.79,68.16,144.19,,
2025-06-24 14,208.38,181.56,101.39,87.02,67.12,158.36,78.36,159.00
2025-06-24 15,215.69,182.15,102.59,87.15,67.49,146.83,78.78,161.87
2025-06-24 16,182.44,152.67,106.86,69.76,70.42,140.89,84.25,128.02
2025-06-24 17,,,102.22,53.25,69.67,,78.33,
2025-06-24 18,158.46,140.69,,,69.74,123.07,75.71,106.97
2025-06-24 19,180.84,154.27,111.43,68.03,71.34,138.59,75.69,131.09
2025-06-24 20,186.07,155.21,113.81,66.61,68.95,,77.54,130.05
2025-06-24 21,187.24,154.77,,70.08,67.69,138.81,75.15,132.57
2025-06-24 22,192.40,158.85,107.48,73.76,66.39,140.00,78.05,146.24
2025-06-24 23,194.98,165.74,84.14,81.74,64.60,146.21,,149.38
2025-06-25 00,194.54,163.81,79.49,82.99,35.20,150.01,73.93,140.29
2025-06-25 01,190.83,161.53,,83.56,,,,
2025-06-25 02,185.21,159.37,74.65,,34.47,141.20,65.60,135.36
2025-06-25 03,184.69,156.77,74.46,81.32,39.39,140.89,65.63,136.81
2025-06-25 04,170.50,,67.24,73.26,39.77,139.09,65.39,125.42
2025-06-25 05,155.56,143.00,,67.93,,,68.10,112.30
2025-06-25 06,,,63.85,64.19,37.03,110.37,70.27,110.20
2025-06-25 07,152.66,150.46,71.50,,40.27,107.88,70.30,
2025-06-25 08,158.05,154.61,96.98,60.62,65.89,108.15,77.42,112.02
2025-06-25 09,162.21,158.21,106.42,61.44,68.94,123.07,85.32,112.90
2025-06-25 10,162.40,164.26,110.79,,69.69,126.92,87.95,112.23
2025-06-25 11,173.83,166.54,113.35,63.44,69.74,129.28,,124.69
2025-06-25 12,193.54,176.14,115.73,71.21,70.34,133.34,82.30,141.96
2025-06-25 13,200.31,177.72,101.52,79.46,69.96,141.04,,153.86
2025-06-25 14,203.58,176.17,,85.77,68.45,153.26,74.36,157.62
2025-06-25 15,205.98,167.79,100.11,87.53,70.78,152.48,76.32,162.06
2025-06-25 16,177.27,149.60,104.87,67.00,74.34,135.87,80.99,128.27
2025-06-25 17,151.85,133.44,,,73.89,112.58,80.58,105.08
2025-06-25 18,,,100.71,50.85,71.77,,,
2025-06-25 19,179.39,155.78,109.87,69.67,72.41,135.64,74.23,130.32
2025-06-25 20,183.45,155.65,111.19,68.32,72.23,133.85,80.69,131.40
2025-06-25 21,187.83,158.34,110.00,66.90,73.68,133.64,,129.34
2025-06-25 22,184.93,152.23,97.66,74.45,71.87,139.08,80.51,134.86
2025-06-25 23,193.02,153.35,83.75,81.80,68.32,137.58,75.41,140.43
2025-06-26 00,192.77,154.22,,82.40,,141.79,69.69,
2025-06-26 01,190.64,159.62,80.06,83.02,41.93,141.30,,140.48
2025-06-26 02,,157.61,77.20,82.74,42.26,141.55,66.29,
2025-06-26 03,178.54,,73.48,80.77,45.95,138.62,64.12,134.11
2025-06-26 04,166.03,150.36,68.34,76.85,44.31,,63.77,136.24
2025-06-26 05,,,,,44.25,125.60,,125.73
2025-06-26 06,158.46,149.38,65.51,67.24,43.89,,63.15,
2025-06-26 07,159.59,152.35,75.75,68.43,48.47,111.68,68.32,115.99
2025-06-26 08,162.35,158.22,99.76,68.56,62.17,113.76,79.08,115.61
2025-06-26 09,165.96,163.20,111.24,67.61,68.50,122.42,79.35,117.65
2025-06-26 10,165.75,166.32,114.92,64.41,66.87,129.07,85.18,121.02
2025-06-26 11,169.15,173.00,115.43,68.65,69.35,140.88,86.85,133.10
2025-06-26 12,181.18,186.48,109.08,77.41,71.08,141.55,85.62,148.22
2025-06-26 13,200.08,184.27,,83.38,69.32,147.66,,154.17
2025-06-26 14,209.16,,103.98,89.48,69.08,158.15,81.39,160.60
2025-06-26 15,214.96,173.83,104.05,88.30,71.11,143.79,84.42,160.66
2025-06-26 16,175.42,152.25,108.24,69.66,74.20,138.02,,120.47
2025-06-26 17,155.97,,108.99,,,,82.84,
2025-06-26 18,,134.58,105.90,54.85,69.30,117.10,76.32,111.36
2025-06-26 19,176.80,158.82,119.77,72.67,,141.07,83.73,140.82
2025-06-26 20,178.83,157.40,121.26,,70.36,,,135.62
2025-06-26 21,179.13,160.45,110.18,67.36,71.71,136.73,79.22,
2025-06-26 22,186.19,,109.27,76.57,68.44,137.72,82.39,141.64
2025-06-26 23,196.43,163.78,95.69,85.27,66.10,140.54,,146.90
2025-06-27 00,206.57,167.61,87.02,91.00,45.97,145.51,81.10,150.77
2025-06-27 01,191.84,167.73,83.81,91.01,,149.10,76.94,148.54
2025-06-27 02,,166.03,,,44.71,,70.49,
2025-06-27 03,187.99,163.25,80.61,87.18,46.86,146.39,70.27,143.66
2025-06-27 04,,160.83,,88.11,,144.47,70.99,136.18
2025-06-27 05,174.03,,73.82,,43.17,126.87,68.04,124.25
2025-06-27 06,166.00,146.55,73.76,76.03,46.35,,,
2025-06-27 07,165.15,149.33,77.83,75.68,,122.38,64.25,120.09
2025-06-27 08,162.81,,99.99,75.11,63.01,120.43,74.45,126.20
2025-06-27 09,167.91,152.73,108.42,76.69,64.12,123.54,77.21,131.69
2025-06-27 10,173.52,151.49,110.83,74.94,65.91,125.91,80.54,133.50
2025-06-27 11,173.63,,104.71,74.55,65.17,129.95,80.16,
2025-06-27 12,175.69,153.33,,75.85,68.09,125.79,,132.72
2025-06-27 13,194.45,163.67,103.73,83.00,67.62,145.96,76.34,148.66
2025-06-27 14,196.53,168.19,102.48,81.58,67.02,150.28,80.86,153.76
2025-06-27 15,199.15,168.61,97.39,85.17,70.24,155.15,83.09,157.92
2025-06-27 16,166.53,162.74,109.82,60.49,69.55,139.90,78.96,123.56
2025-06-27 17,154.50,,110.47,,70.53,116.11,78.86,
2025-06-27 18,,126.26,109.02,50.22,70.65,,,101.08
2025-06-27 19,174.34,149.84,120.80,69.04,70.27,134.32,83.40,127.29
2025-06-27 20,174.48,148.13,120.81,66.10,,,78.28,124.03
2025-06-27 21,175.99,,110.57,,68.72,131.84,,122.41
2025-06-27 22,180.75,141.76,102.18,76.57,,137.73,77.89,132.41
2025-06-27 23,187.64,155.25,96.54,86.41,63.74,145.96,79.46,141.39
2025-06-28 00,195.23,166.41,,90.66,45.16,150.81,78.09,145.45
2025-06-28 01,192.43,,90.46,,,153.42,74.21,145.61
2025-06-28 02,183.45,160.36,89.83,88.42,45.50,,70.87,145.05
2025-06-28 03,180.14,159.45,82.11,88.00,49.12,146.27,,142.45
2025-06-28 04,168.39,156.26,,80.58,48.33,134.24,68.72,143.65
2025-06-28 05,160.00,,77.76,74.72,,122.80,65.28,121.48
2025-06-28 06,,146.23,74.37,,45.05,114.66,64.88,
2025-06-28 07,159.94,148.09,79.87,75.06,44.37,,65.39,120.36
2025-06-28 08,159.35,148.72,105.14,76.01,64.41,115.11,74.17,122.96
2025-06-28 09,169.88,149.93,117.78,72.94,66.08,124.84,79.53,126.25
2025-06-28 10,170.21,,119.45,,,130.11,79.54,132.65
2025-06-28 11,172.76,152.50,118.19,74.49,65.25,134.90,82.30,136.88
2025-06-28 12,187.95,160.45,118.74,81.01,66.11,136.06,82.99,146.04
2025-06-28 13,190.14,166.00,,80.95,65.11,146.52,,148.73
2025-06-28 14,192.87,169.34,106.26,84.93,67.40,153.89,74.87,156.44
2025-06-28 15,194.89,161.43,105.96,83.85,67.02,145.98,77.70,159.38
2025-06-28 16,158.44,140.40,112.91,63.06,72.92,136.69,78.05,122.66
2025-06-28 17,141.51,,103.61,,71.79,112.62,67.94,
2025-06-28 18,,121.97,,50.33,69.79,,,97.90
2025-06-28 19,167.39,148.42,117.76,65.89,,127.08,76.26,125.09
2025-06-28 20,170.44,,117.37,,65.88,132.08,77.23,121.91
2025-06-28 21,173.94,148.39,,64.98,64.53,133.14,,124.43
2025-06-28 22,182.22,144.70,104.55,74.77,66.33,143.03,72.70,130.98
2025-06-28 23,189.97,156.74,104.71,80.61,64.35,147.16,72.89,142.08
2025-06-29 00,195.04,160.54,,86.88,,152.51,74.71,146.70
2025-06-29 01,185.21,161.08,85.49,89.78,44.50,148.97,,146.52
2025-06-29 02,,158.28,82.28,86.87,45.13,147.15,66.26,145.13
2025-06-29 03,182.79,156.09,,83.75,46.88,144.83,66.45,141.19
2025-06-29 04,166.88,149.54,78.94,82.84,46.45,128.82,62.92,129.97
2025-06-29 05,,,,74.31,,117.91,,
2025-06-29 06,156.22,143.68,72.97,,43.49,,59.58,119.65
2025-06-29 07,156.66,146.24,76.07,71.25,48.71,111.32,62.16,119.17
2025-06-29 08,,144.69,97.91,72.29,60.52,115.45,70.75,122.49
2025-06-29 09,160.01,147.02,111.87,69.44,62.86,124.82,74.30,126.01
2025-06-29 10,165.86,152.91,115.55,70.45,63.97,125.48,77.83,127.23
2025-06-29 11,174.62,,118.92,71.37,65.74,131.58,79.81,139.62
2025-06-29 12,178.31,161.18,118.64,81.33,66.96,137.64,80.79,152.83
2025-06-29 13,188.18,162.30,102.84,86.21,67.77,141.54,,163.82
2025-06-29 14,197.56,164.16,,87.76,67.62,151.31,77.05,163.64
2025-06-29 15,181.05,169.94,100.58,86.59,68.94,141.57,75.34,167.75
2025-06-29 16,159.53,139.21,106.62,61.39,69.33,133.31,77.10,120.74
2025-06-29 17,,,106.40,,68.00,113.69,66.78,
2025-06-29 18,144.12,135.03,99.57,53.15,,,,109.25
2025-06-29 19,172.16,152.04,112.30,68.82,66.18,136.53,79.50,132.57
2025-06-29 20,177.33,,112.74,67.85,69.80,,74.87,130.04
2025-06-29 21,175.93,145.61,101.90,66.68,,136.32,,
2025-06-29 22,181.96,149.55,93.23,76.76,64.98,143.50,76.13,135.66
2025-06-29 23,190.35,153.43,82.37,84.26,62.42,145.48,76.64,140.98
2025-06-30 00,186.50,156.83,,86.40,,148.41,74.84,142.39
2025-06-30 01,,159.26,80.67,86.11,45.68,147.52,69.42,144.67
2025-06-30 02,179.83,151.81,,,47.79,143.60,66.08,141.48
2025-06-30 03,179.88,,75.69,83.34,49.34,143.08,66.30,141.29
2025-06-30 04,167.44,149.19,73.68,,,140.63,65.22,130.07
2025-06-30 05,,149.02,68.35,77.02,48.06,120.96,69.44,118.10
2025-06-30 06,157.90,155.48,70.80,70.80,48.06,,72.19,
2025-06-30 07,,156.64,77.45,71.65,52.56,113.49,74.40,118.03
2025-06-30 08,149.92,161.10,98.91,,64.69,114.28,80.82,119.93
2025-06-30 09,155.05,163.47,112.11,67.17,65.73,121.65,80.95,118.72
2025-06-30 10,159.54,164.05,112.80,61.42,67.18,124.52,83.87,116.64
2025-06-30 11,166.37,168.93,,67.80,67.12,133.41,81.16,122.86
2025-06-30 12,180.09,182.67,111.96,72.44,68.10,138.21,81.08,142.81
2025-06-30 13,187.30,,,79.49,67.12,145.64,,154.50
2025-06-30 14,203.80,179.25,103.28,87.88,68.76,153.02,75.02,159.41
2025-06-30 15,191.56,173.77,103.85,83.92,67.82,151.85,77.07,161.80
2025-06-30 16,163.29,139.24,106.54,68.04,69.38,142.40,80.23,130.38
2025-06-30 17,149.46,,,,68.78,115.51,68.79,
2025-06-30 18,,129.54,97.69,54.80,71.00,,,106.56
2025-06-30 19,184.36,157.14,113.95,70.80,,137.47,74.84,131.14
2025-06-30 20,,,,67.78,71.19,139.39,77.42,131.83
2025-06-30 21,180.61,147.13,102.92,,,138.78,77.89,125.82
2025-06-30 22,185.43,147.11,94.82,77.45,63.84,142.64,73.98,136.32
2025-06-30 23,,156.60,86.55,81.42,58.00,142.99,,146.20
2025-07-01 00,187.55,157.54,,84.96,,147.13,71.05,
2025-07-01 01,185.57,157.24,81.90,,41.05,,62.89,143.00
2025-07-01 02,,151.53,,81.08,41.02,144.16,,137.89
2025-07-01 03,181.03,150.78,76.41,105.82,43.68,145.36,63.88,
2025-07-01 04,,149.27,72.64,75.65,43.30,143.40,59.86,139.59
2025-07-01 05,167.67,145.30,,,43.84,117.91,,
2025-07-01 06,,152.38,69.47,66.32,41.84,,61.26,121.73
2025-07-01 07,156.95,157.55,77.51,66.73,48.37,114.89,62.79,115.80
2025-07-01 08,156.83,162.78,98.81,65.83,67.05,117.90,71.49,119.07
2025-07-01 09,162.33,163.32,112.23,66.58,67.27,129.89,75.62,120.75
