,PS:AL KHABOURAH 01,,,,,,,
Time,KHBR01_K_LN01_Q0_Y_PH_I,KHBR01_K_LN02_Q0_Y_PH_I,KHBR01_K_LN03_Q0_Y_PH_I,KHBR01_K_LN04_Q0_Y_PH_I,KHBR01_K_LN05_Q0_Y_PH_I,KHBR01_K_LN06_Q0_Y_PH_I,KHBR01_K_LN07_Q0_Y_PH_I,KHBR01_K_LN08_Q0_Y_PH_I
2025-06-04 18,148.80,129.04,,53.21,68.10,,,105.96
2025-06-04 19,178.32,150.59,114.85,66.98,68.00,138.02,85.54,133.85
2025-06-04 20,176.71,148.58,113.25,67.53,66.40,138.42,80.86,134.70
2025-06-04 21,,148.76,113.46,67.61,65.01,139.36,83.15,133.42
2025-06-04 22,188.87,150.46,113.35,77.84,,147.37,83.47,140.29
2025-06-04 23,194.04,155.48,103.32,81.61,60.87,151.43,86.90,147.95
2025-06-05 00,,159.41,,82.65,51.24,151.32,86.56,
2025-06-05 01,190.67,160.90,93.21,83.43,37.16,152.42,,149.35
2025-06-05 02,186.83,161.07,84.74,83.25,39.68,145.20,76.39,
2025-06-05 03,,154.46,80.88,83.05,43.86,142.20,74.14,140.69
2025-06-05 04,177.87,,73.30,80.85,41.75,124.60,74.07,142.02
2025-06-05 05,,149.45,,,,118.79,,
2025-06-05 06,160.80,142.56,72.03,71.88,40.53,,65.99,124.63
2025-06-05 07,164.05,147.31,79.05,72.29,41.28,114.09,67.36,
2025-06-05 08,166.49,149.43,101.15,71.16,59.52,121.72,77.26,126.36
2025-06-05 09,170.13,153.61,112.33,71.44,61.77,128.76,81.64,132.05
2025-06-05 10,175.48,154.85,117.29,72.78,64.47,131.27,86.06,135.69
2025-06-05 11,184.30,160.96,117.88,74.11,62.35,138.35,90.16,140.40
2025-06-05 12,189.28,162.91,122.25,80.04,65.69,143.85,92.01,146.40
2025-06-05 13,201.53,172.20,123.40,84.91,64.06,157.01,91.72,160.33
2025-06-05 14,212.59,,119.67,89.17,67.27,167.04,95.79,165.80
2025-06-05 15,210.45,169.17,,92.80,66.54,166.13,95.06,169.46
2025-06-05 16,,149.23,112.75,74.23,65.66,141.82,,134.40
2025-06-05 17,176.74,,113.13,,66.26,,83.28,
2025-06-05 18,167.69,147.21,,69.39,63.87,127.92,83.02,136.03
2025-06-05 19,181.82,163.89,130.35,75.81,63.91,139.22,81.54,146.86
2025-06-05 20,187.81,156.71,131.65,74.67,64.46,144.94,87.28,145.07
2025-06-05 21,190.03,160.74,125.95,76.16,67.78,147.38,86.12,154.21
2025-06-05 22,202.27,167.44,,77.55,65.92,148.13,88.08,164.20
2025-06-05 23,212.67,172.11,124.24,87.03,,156.51,88.93,164.61
2025-06-06 00,205.96,173.65,122.83,90.24,64.98,162.66,88.90,157.54
2025-06-06 01,,,108.02,89.73,60.24,154.21,,
2025-06-06 02,199.48,160.04,90.96,89.05,44.45,149.13,73.35,149.46
2025-06-06 03,190.39,,,88.16,44.69,147.41,73.45,144.29
2025-06-06 04,177.02,157.52,86.40,82.20,42.42,143.71,,136.06
2025-06-06 05,,,84.00,,,,65.88,
2025-06-06 06,172.10,140.16,83.24,78.78,39.86,113.10,63.42,126.19
2025-06-06 07,180.55,146.01,84.93,76.97,40.74,121.92,64.92,
2025-06-06 08,,153.02,80.42,68.59,42.45,124.44,62.92,127.74
2025-06-06 09,174.09,153.27,,,42.36,127.67,62.93,134.29
2025-06-06 10,191.14,155.28,86.37,71.38,41.49,136.35,64.47,146.14
2025-06-06 11,197.01,160.19,91.88,78.99,43.95,133.67,62.83,159.48
2025-06-06 12,198.54,170.98,95.03,81.79,49.76,133.98,65.10,160.86
2025-06-06 13,205.53,175.22,105.17,83.47,56.82,145.39,72.07,169.61
2025-06-06 14,208.79,171.94,104.81,84.29,59.78,146.48,81.04,174.79
2025-06-06 15,208.88,176.78,,88.57,62.61,148.29,83.12,172.21
2025-06-06 16,178.15,152.67,99.45,72.28,63.39,140.13,73.33,139.72
2025-06-06 17,148.39,,89.61,,60.93,104.49,65.60,117.28
2025-06-06 18,,131.59,,57.88,64.76,,,
2025-06-06 19,155.57,144.44,95.31,67.99,,109.11,67.72,123.99
2025-06-06 20,159.18,139.60,93.59,61.94,63.25,111.79,66.93,125.10
2025-06-06 21,160.17,,,64.90,,110.95,66.70,129.15
2025-06-06 22,176.51,145.03,94.03,72.06,64.25,121.48,70.10,134.79
2025-06-06 23,188.44,156.57,96.08,84.38,58.68,137.80,74.89,151.54
2025-06-07 00,190.01,162.77,,89.87,41.79,141.80,76.34,154.05
2025-06-07 01,,,87.48,,43.29,142.84,74.81,151.05
2025-06-07 02,183.04,157.87,86.44,86.82,,144.79,72.13,144.69
2025-06-07 03,182.35,156.04,83.97,88.14,42.50,,70.20,146.33
2025-06-07 04,170.25,148.39,82.31,85.61,42.88,137.85,70.96,137.28
2025-06-07 05,159.10,,79.53,72.41,,125.47,63.68,
2025-06-07 06,158.97,146.05,78.99,70.95,37.65,118.79,62.43,127.75
2025-06-07 07,,143.68,79.02,,39.71,114.92,,124.72
2025-06-07 08,158.49,142.08,97.94,68.69,57.60,115.30,64.34,126.01
2025-06-07 09,160.99,144.72,100.20,66.40,64.35,,68.25,130.96
2025-06-07 10,160.95,148.73,102.09,69.19,62.55,112.68,69.89,136.87
2025-06-07 11,174.89,155.60,104.04,70.99,63.87,117.75,73.60,141.10
2025-06-07 12,185.95,159.98,107.11,86.52,65.29,127.14,78.68,158.37
2025-06-07 13,193.15,160.89,106.69,85.46,,144.45,,
2025-06-07 14,192.65,165.12,101.99,85.99,64.56,151.71,83.24,158.12
2025-06-07 15,194.48,167.23,100.13,89.02,66.05,156.16,82.64,164.95
2025-06-07 16,165.56,140.57,103.22,90.24,70.45,122.76,81.08,134.13
2025-06-07 17,,126.67,100.59,53.40,,103.22,73.92,108.81
2025-06-07 18,145.13,,,,71.59,,,
2025-06-07 19,159.54,143.91,103.35,68.10,,113.66,68.41,128.85
2025-06-07 20,167.44,136.47,,,68.07,,70.92,128.79
2025-06-07 21,167.23,135.12,95.42,63.30,65.66,108.51,68.38,125.70
2025-06-07 22,171.63,141.10,,67.17,65.45,120.69,67.31,130.80
2025-06-07 23,189.13,145.73,91.66,83.75,48.69,138.11,70.78,147.76
2025-06-08 00,192.22,153.40,90.41,85.64,35.41,145.10,70.59,149.08
2025-06-08 01,,152.19,87.86,,,,72.92,143.36
2025-06-08 02,183.58,155.21,,85.54,35.54,143.90,,
2025-06-08 03,177.46,151.69,81.55,85.04,35.52,139.62,71.21,140.72
2025-06-08 04,164.44,141.60,79.35,,35.19,136.26,,129.20
2025-06-08 05,,140.48,,79.28,35.36,116.68,68.41,
2025-06-08 06,158.88,,77.92,,,,67.08,123.34
2025-06-08 07,161.20,142.04,78.93,73.39,46.29,112.65,,130.02
2025-06-08 08,160.85,147.69,100.21,73.92,47.10,115.86,69.52,131.27
2025-06-08 09,164.29,149.92,107.13,72.47,54.08,118.74,69.35,131.55
2025-06-08 10,171.86,,113.15,,56.62,116.44,70.74,130.71
2025-06-08 11,184.04,147.57,113.65,75.22,55.92,121.94,72.86,130.61
2025-06-08 12,190.42,167.32,120.65,87.64,58.02,136.35,74.46,150.91
2025-06-08 13,195.04,,104.43,,60.13,134.95,73.10,
2025-06-08 14,193.78,156.91,,79.91,63.18,145.05,75.06,151.38
2025-06-08 15,201.45,163.16,106.18,84.28,,149.13,81.99,162.97
2025-06-08 16,164.89,134.17,107.76,65.61,61.79,,73.01,116.84
2025-06-08 17,150.87,120.58,97.69,,65.20,119.98,71.06,102.76
2025-06-08 18,,,,52.19,,,,
2025-06-08 19,163.60,134.96,109.22,66.35,63.25,121.85,74.17,118.55
2025-06-08 20,171.54,,109.50,,62.05,119.32,71.21,121.10
2025-06-08 21,159.82,130.14,98.22,62.68,,,,122.42
2025-06-08 22,168.52,132.51,92.74,72.70,57.53,124.16,69.22,132.95
2025-06-08 23,183.08,146.80,,81.14,39.99,133.50,72.51,140.02
2025-06-09 00,187.43,152.42,80.01,81.68,32.87,136.63,70.93,140.63
2025-06-09 01,186.67,152.99,81.52,82.31,,139.39,73.01,142.04
2025-06-09 02,181.47,149.13,75.15,83.24,36.04,139.18,69.60,
2025-06-09 03,,,,83.41,37.30,133.35,68.22,133.31
2025-06-09 04,174.21,145.99,73.68,,36.52,130.27,,133.98
2025-06-09 05,,137.63,69.29,80.34,34.23,,68.56,125.21
2025-06-09 06,154.43,,69.70,71.50,36.21,110.47,70.17,
